global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	aroma_motion_01	aroma_motion_10	aroma_motion_11	aroma_motion_12	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_19	aroma_motion_20	aroma_motion_21
6061.008071945425	n/a	36735818.8481876	n/a	7806.457717915037	n/a	n/a	60940782.10159525	5188.928333642498	n/a	n/a	26924977.251677908	5281.906275436442	5511.0825913032	n/a	n/a	n/a	n/a	-0.1058394811	-0.1083208587	-0.0127945169	0.0480129602	-0.0556329146	-0.0068605244	-0.1199378835	-0.0183721135	0.0355575694	0.0096277329	-0.027359885	0.027272257	-0.1077578558	0.0718394305	-0.0062151309	0.1145745605	-0.0749725605	0.1035722505	-0.0028306066	0.0167469857	-0.0318877054	0.0791052547	-0.0954794093	0.0148251016	-0.0381145356	0.0025654481	-0.0087659316	0.0418510345	-0.1176147684	0.0215440758	-0.1026330182	0.0169564476	-0.0255042584	-0.0403547285	0.0578541067	0.0344270992	-0.0338616866	-0.0551883433	-0.1195000609	-0.0175961533	0.0360258614	0.0112301551	-0.0507076	0.0108059484	-0.0835640332	0.0638203287	-0.0022299834	0.0850137303	-0.0379467826	-0.0221244639	0.1490912628	-0.0310036744	0.0142588237	-0.0357684863	0.0932690456	-0.0504350437	0.0428194539	-0.0470297314	0.0309846864	-0.0847402713	0.005637743	-0.0077828997	0.089316284	-0.0586966348	0.137781762	0.0523305335	-0.0127793913	0.030856792	0.052217638	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0834248999999999	n/a	0.0069597139400099	n/a	0.117042	n/a	n/a	0.0136988297639999	0.437758	n/a	n/a	0.1916320665639999	-0.00182199	n/a	n/a	3.3196475600999995e-06	0.00285036	n/a	n/a	8.1245521296e-06	0.00456474	n/a	2.08368512676e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1280949846	-0.7851312126	-1.470656085	-0.6055044939	0.4528756776	0.7677835996	0.2514501362	0.2732311434	0.3767129066	0.2641495078
6065.503656701458	4.495584756032258	36790334.60945875	20.21028229866962	7825.435525921424	18.977808006387026	360.1571967272873	61237441.17035312	5188.357796340445	-0.5705373020527986	0.3255128130336864	26919056.62284668	5281.5914721857	5425.367022892748	0.771248	28.113583	0.1277415999999999	0.0865347999999999	-0.1085737995	-0.1092015416	-0.0400193375	-0.0281015292	0.0075522928	-0.1253159251	-0.1134559882	-0.0252076702	0.0229997304	-0.1153461144	0.0151936218	-0.0061527229	-0.0373330547	0.020869368	0.0394797161	0.064878101	-0.1512679947	0.0981062359	0.0386199628	-0.0615831859	-0.0765754559	0.0758489093	-0.0426456678	0.0177925927	-0.1417969943	-0.1312865829	-0.0572457943	-0.0747752784	-0.0294953744	-0.0356757166	-0.05078724	-0.073669208	-0.0607445844	0.0066920462	0.011726969	-0.0401387281	-0.0076026089	0.0712622498	-0.109741666	-0.0331329457	0.0161034249	-0.1119558443	-0.0196119356	-0.0199343818	-0.03612094	0.0184000139	-0.047783309	0.1185670795	0.0327338681	-0.1310726913	0.0447191581	0.0443436293	0.060597549	-0.0443483795	0.1811488362	-0.0238994311	0.113073965	0.0662073321	-0.1134337757	-0.0794348855	0.0179248302	-0.0397192117	0.0645962696	0.0128914919	-0.015764553	0.0091460583	-0.0239655999	0.0959202031	-0.0545923738	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0899905	0.0065656000000001	0.00809829009025	4.3107103360001336e-05	0.100626	-0.016416	0.000269485056	0.0101255918759999	0.361986	-0.075772	0.005741395984	0.131033864196	-0.0015318	0.0002901899999999	8.421023609999992e-08	2.34641124e-06	0.00285036	0.0	0.0	8.1245521296e-06	0.00485431	0.0002895699999999	2.35643255761e-05	8.385078489999966e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06786575923	-0.3033989119	-1.12507213	-0.7504889547	-0.3195811361	0.8003060394	0.3969542907	0.4215688223	0.3813108483	-1.854341736
6045.980188243047	-19.523468458410207	36553876.43662743	381.16582064653824	7806.692409275335	-18.74311664608922	351.3044216089068	60944446.37303714	5191.340207360474	2.9824110200288487	8.894775492389519	26950013.148557488	5287.417213618755	5335.627519551696	0.884926	32.25737	0.1145143	0.0660449	-0.1269658926	-0.1202952983	-0.0455938638	-0.0596504683	0.0112933041	0.0290429373	-0.1082508085	-0.0423364164	-0.0018775313	0.0569225652	-0.0672307582	0.0481484452	-0.0134625216	-0.0765216731	0.0383339064	-0.0200052139	-0.0342557012	0.1384558652	0.1067153049	0.0191256374	-0.0353860076	0.04497146	-0.0078808077	0.0332474228	-0.0802360432	0.0783082137	-0.0965333364	-0.1469773542	-0.1821319995	-0.1187601864	0.0742736385	0.0119125447	0.0263449103	-0.0560139444	0.0196008784	-0.0654645583	0.0343483121	-0.0409786588	-0.106315362	-0.0387783889	-0.0036103569	0.0626525834	-0.0514528143	0.0527726196	-0.0034911965	-0.0809920293	-0.0388509962	0.0097194407	0.0348470427	0.0657053916	0.0740342328	-0.0168548873	0.1167815111	0.0090709506	0.1566688508	-0.0315056554	0.0374238265	-0.0225880711	-0.1379090691	0.0937381849	-0.0989533463	7.23515e-05	0.0443394632	-0.0702813602	0.0617975014	0.0047515692	-0.0261534376	-0.0652887717	0.0051213613	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0921274	0.0021368999999999	0.00848745783076	4.566341609999988e-06	0.0681816	-0.0324444	0.0010526390913599	0.00464873057856	0.38375	0.021764	0.000473671696	0.1472640625	-0.00232934	-0.00079754	6.360700516000001e-07	5.4258248356e-06	0.002625	-0.0002253599999999	5.078712959999999e-08	6.890625000000001e-06	0.00499479	0.00014048	2.49479271441e-05	1.9734630400000032e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06924419917	-0.2781978143	-2.170405042	-0.406582896	0.4603223397	0.8156079564	-0.4752067563	0.8007993682	-0.2931981082	-0.4168751157
6072.223267718189	26.243079475141712	36871895.41301816	688.6992203386042	7754.369735874414	-52.3226734009213	2737.662151819477	60130250.00064503	5187.170998022329	-4.169209338145265	17.38230650527768	26906742.96272396	5278.656903874599	5466.49266088591	0.837462	30.527216	0.0780367	0.0582765	-0.1067728738	-0.1102320371	0.0380537928	-0.0095675983	0.0172716514	-0.0328025467	-0.1202005768	-0.0191919684	0.0080020416	-0.1061094903	0.0357410999	0.0453760722	-0.0515286645	0.0414222378	0.0292121421	0.1305476601	-0.0391466035	0.0406516933	0.0670110229	0.0810146516	-0.0039882726	-0.0390109022	-0.0345624568	0.0545089958	-0.0961446152	-0.0464141248	-0.0607688743	-0.0060941221	0.0073373562	-0.0344331615	-0.0989600633	-0.0614500508	-0.0626238994	-0.0774766195	-0.0666463617	0.0650796396	-0.0524925259	0.0114333409	-0.1185109797	-0.0245283825	-0.0122021309	-0.0987620403	0.0009250989	0.0186987721	-0.0579952457	0.0552362751	-0.0412882225	0.0815082541	-0.0951591982	-0.0103334067	0.0545722126	-0.0189684152	0.088379024	0.0078330625	0.0247487171	-0.1047041109	0.0838050371	-0.0188310339	0.0010199556	-0.0160155597	0.0437081301	0.0319259657	0.1455526968	0.0399413058	0.0109554233	0.0729500057	-0.044759508	0.0770614804	0.0153913431	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0926844	0.000557	0.00859039800336	3.102490000000022e-07	0.0638409	-0.0043406999999999	1.8841676489999904e-05	0.00407566051281	0.375482	-0.0082679999999999	6.835982399999996e-05	0.140986732324	-0.00136291	0.00096643	9.339869449000002e-07	1.8575236681e-06	0.00256625	-5.875000000000021e-05	3.451562500000024e-09	6.5856390625e-06	0.00526703	0.00027224	2.77416050209e-05	7.41146176e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08488098017	-0.3488522875	-1.10641038	-0.6879907555	-0.291317446	0.7148794674	1.106759946	-0.2822408446	-0.2854706335	-0.6472810046
6075.657676712914	3.434408994724436	36913616.20460056	11.795165143044107	7815.9014490236605	61.53171314924657	3786.1517230811633	61088315.46085016	5204.602450642799	17.431452620470736	303.8555404597161	27087886.669237036	5299.164830624984	5416.276593200945	0.849286	30.958242	0.1174775	0.0832346	-0.1007900193	-0.107753408	-0.051840561	-0.0882846901	0.07079561	0.0085731537	-0.0749911723	-0.0384772909	-0.0371838812	0.0718402173	-0.0469375551	0.0269421922	0.063082579	0.009883468	0.0450148736	-0.0052485305	-0.0652314532	0.0951193254	-0.0267541677	-0.0220183926	-0.0075986579	0.0258879356	0.0886695825	0.0369462556	-0.075939513	0.0895016075	-0.0716037372	-0.1048457934	-0.050480732	0.1289146609	0.0363105914	0.0626098165	-0.0710623813	0.0181764184	-0.0990359855	-0.0295009879	0.0255219316	-0.0165447103	-0.0734491216	-0.0413851867	-0.0284601917	0.0801734689	-0.0128337535	0.0326926206	0.0833172551	-0.0241793291	-0.039347862	0.0280804061	0.0457085142	-0.0391969489	0.0573202353	0.0181703236	0.1092259313	0.0057102801	0.0608218846	-0.0585401719	-0.06699664	-0.0424955811	-0.0390152102	-0.0603583729	-0.0634535031	0.0367533456	-0.0133959984	-0.0497056181	-0.1106487931	0.0712935375	0.0447119004	-0.0354591811	-0.0228478245	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0861624	-0.006522	0.00742395917376	4.2536484e-05	0.0553989	-0.008442	7.126736400000008e-05	0.00306903812121	0.437253	0.061771	0.003815656441	0.191190186009	-0.00201488	-0.00065197	4.250648809000002e-07	4.0597414144e-06	0.00255522	-1.102999999999998e-05	1.2166089999999959e-10	6.5291492484e-06	0.00511518	-0.0001518499999999	2.6165066432400004e-05	2.305842249999981e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1309242676	-0.01358691699	-1.787771642	-0.2514801456	0.1271170015	1.191689773	-0.5374092284	1.364729137	-0.613695082	-2.230110924
6101.022139723355	25.3644630104418	37222471.14939455	643.35598380807	7838.060051882227	22.158602858566155	491.0036806436562	61435185.37691201	5197.604634558538	-6.997816084261103	48.9694299491434	27015093.9371844	5289.848661116967	5755.2467563063165	0.927253	33.800308	0.1926533	0.104986	-0.0657236827	-0.0837132952	0.0290000356	-0.024586776	0.0284320173	0.0208124085	-0.0870941397	-0.0088172596	0.0878341092	-0.0554259695	-0.0072003225	0.1262498938	-0.0686894013	-0.0046660494	-0.003029089	0.0179419866	0.2253943515	0.2286574922	-0.0799711262	0.0269683762	0.1100972828	0.0300783136	-0.0647202185	-0.3038508939	0.0280581773	-0.0555843888	0.0097305298	0.1179103872	-0.0079093566	0.0750350017	-0.171433833	0.069315259	-0.1314332292	-0.0633891874	-0.0407002963	-0.1600591712	0.1165914508	-0.0522653883	-0.0844223214	-0.0222219274	0.0636648629	-0.0687695656	-0.0092660083	0.1033254232	-0.0638774678	0.0079139381	0.0057383517	-0.1505626378	-0.0903964396	0.0467614704	0.2076100334	0.0861152168	0.0804869084	0.1054953055	-0.012166597	0.2184351976	-0.0703299834	0.1243758459	0.1081221891	-0.1451190848	0.0488344743	0.0527042912	0.1312663036	-0.0016851312	0.1853160078	0.1642074203	0.1794407899	0.1025434274	-0.1090651126	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.103694	0.0175315999999999	0.0107524456359999	0.0003073569985599	0.0787265999999999	0.0233276999999998	0.0005441815872899	0.0061978775475599	0.350537	-0.086716	0.007519664656	0.122876188369	-0.00188132	0.00013356	1.783827360000006e-08	3.5393649423999995e-06	0.00179142	-0.0007638	5.8339044e-07	3.2091856164e-06	0.00551938	0.0004041999999999	3.04635555844e-05	1.6337763999999964e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4447131769	0.2296799659	-0.5456723643	-1.018974185	0.520757889	0.2388330332	1.395863711	0.2722899894	-1.020577408	-0.3710122805
6135.556403756102	34.53426403274625	37645052.383672506	1192.6153922834312	7929.011261656423	90.95120977419629	8272.122559389858	62869219.587474376	5225.535212322347	27.9305777638092	780.1171742201927	27306218.25522076	5321.833862878769	5793.550299173601	0.865116	31.535282	0.2029608499999999	0.095754	-0.0540141411	-0.0636969301	-0.0253534318	-0.1011895424	0.0303730598	-0.0064930759	-0.0084708692	-0.0208686578	-0.0401099151	0.0197680488	-0.0324731802	-0.0109058329	0.1584614755	-0.0169433061	0.1064376703	-0.0574174708	-0.0064622575	-0.1074859534	0.0819213937	-0.1154142596	0.1127347684	-0.0152759338	0.1782264494	0.0705018756	-0.0603552995	-0.033050845	-0.0098108465	0.0875299806	0.0390923235	0.0431030435	0.1489035508	0.0204762175	0.0425861963	-0.0032887597	-0.1493750617	0.0221667172	0.0992371971	0.0231800404	-0.0120909246	-0.0124571819	-0.0256165701	0.0260117537	-0.0067870542	0.0154316014	0.1384801543	-0.0369235412	-0.0731227176	-0.0037636952	-0.0008496163	-0.0393617922	-0.2066350433	0.0706284689	-0.0688094517	0.1332703652	0.027470167	-0.0849358001	-0.0972097242	0.0030643859	-0.0498580025	0.0359000133	0.0946080411	-0.1028869043	-0.080944529	0.0110169863	-0.0803353278	0.0077366827	0.0554129865	-0.1184534584	-0.0339323717	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.104073	0.000379	0.010831189329	1.436410000000033e-07	0.0299578	-0.0487687999999999	0.0023783958534399	0.00089746978084	0.320128	-0.0304089999999999	0.0009247072809999	0.102481936384	-0.00230229	-0.0004209699999999	1.772157408999999e-07	5.300539244099999e-06	0.000772669	-0.001018751	1.037853600001e-06	5.97017383561e-07	0.00449102	-0.0010283599999999	2.01692606404e-05	1.0575242895999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.523763124	0.4684110791	-1.438006531	-0.4112438285	0.4284321698	1.588089184	-0.3005808248	1.719213771	-0.3692174917	-0.9567090393
6151.638085452485	16.081681696383384	37842651.13438951	258.6204861837924	7953.731738788683	24.720477132260385	611.1019896466086	63261848.57261445	5214.376747047312	-11.158465275035269	124.51134729416792	27189724.860147707	5310.237000257956	6127.485372187991	0.961796	35.059467	0.22483885	0.131975	-0.0116401454	-0.0325976535	0.0334861201	-0.04666622	0.0555409942	-0.0105041601	-0.0374397204	0.0030693142	0.0102239335	-0.0695014991	-0.0615075225	-0.0289605157	0.0167824483	-0.0830710747	0.0386876455	0.0731310713	0.0575376325	0.0138233306	0.0838455835	0.0036603224	0.0891351248	-0.0576345675	-0.0549236646	0.1301796355	0.1124604471	0.0774075311	-0.1005477385	-0.0810655303	0.0577520217	-0.0070611418	0.0254988071	-0.0706290792	0.0096878911	0.0484204162	0.2063857449	0.1297483234	0.1121940021	0.0383932656	-0.040329759	0.0046089008	-0.0043354061	-0.0535279647	-0.0662217096	-0.0035509014	0.005645987	-0.0896603639	-0.0390795253	1.65355e-05	-0.094525468	0.073596577	0.0161337724	-0.017027533	-0.0180695368	0.0602696163	-0.0284358242	-0.0267186814	0.0812444802	-0.1259615016	-0.1475520493	0.0986172008	-0.0343869616	0.0466349954	-0.0783859172	0.0611398335	-0.0948751273	-0.0143617315	-0.0842726703	0.0022801138	0.1244413736	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0928353	-0.0112377	0.0086183929260899	0.00012628590129	0.0485079	0.0185501	0.00034410621001	0.00235301636241	0.183925	-0.136203	0.018551257209	0.033828405625	-0.00290603	-0.00060374	3.645019876000002e-07	8.4450103609e-06	0.00121206	0.000439391	1.9306445088100006e-07	1.4690894436000002e-06	0.00462485	0.0001338299999999	2.13892375225e-05	1.7910468899999922e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9871345718	-0.02238643511	-0.57811194	-1.553127094	1.626541237	1.228945812	1.624614027	0.6893949445	-0.3139036343	-0.2100199043
6166.826500492489	15.188415040003749	38029749.08717644	230.68795142741203	8004.597456532533	50.86571774384993	2587.321241597009	64073580.4411271	5226.39533314646	12.018586099147797	144.44641182262865	27315208.178335097	5320.6555455318685	5945.629577320645	0.905923	33.022755	0.1131302999999999	0.0675267	-0.0241660378	-0.0211387674	0.0072360191	-0.0771854996	0.0274641879	0.040869733	0.0056563667	-0.010965228	-0.011453108	0.0167316644	-0.0278563031	0.0405663578	0.1143566788	-0.0950991399	-0.0572996378	0.0110296068	-0.0270037568	-0.0351258027	-0.0950300354	-0.0830050154	0.0620211078	-0.0334061545	-0.0173181024	0.0566423346	-0.0847154978	0.0258165127	0.0078603942	-0.0089995312	0.0951816416	0.0052935068	0.0244075588	-0.1045305986	0.1221786781	0.0016774528	-0.1532771111	0.0540754165	-0.065643695	-0.0459883902	0.0029237469	-0.0191630299	-0.0085196696	0.0029607196	0.0068577727	0.0486089328	0.0930731001	-0.1042665551	0.069676085	-0.0151715518	0.006948133	-0.1515455927	-0.029841128	0.0091733706	-0.0710096522	0.0224994275	-0.0199289267	-0.004204028	-0.005478088	-0.0609583664	-0.0200519271	0.0439846554	0.03633572	-0.0143372987	-0.0283554166	0.1274766259	0.008698188	-0.0244226313	0.0415158952	-0.1204790113	0.0020342379	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.104023	0.0111877	0.010820784529	0.00012516463129	0.0394083	-0.0090996	8.280272015999999e-05	0.00155301410889	0.244573	0.060648	0.003678179904	0.059815952329	-0.00285558	5.045000000000006e-05	2.545202500000006e-09	8.1543371364e-06	0.00121206	0.0	0.0	1.4690894436000002e-06	0.0040314	-0.0005934499999999	1.625218596e-05	3.5218290249999964e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.813277407	0.8458697101	-1.627413086	-0.5901078201	0.509680849	1.400161265	0.0700299098	1.558676204	-0.5961973292	-0.7150044619
6168.506878230416	1.6803777379273015	38050477.106775954	2.8236693421216748	7974.25165595455	-30.345800577983027	920.867612718715	63588689.47249389	5209.172734202918	-17.222598943541925	296.61791437009146	27135480.574763104	5303.950655263805	6213.106350483941	0.947217	34.528038	0.0934326	0.0530673	0.0089963286	-0.006589147	0.0636739529	0.0307620313	0.022485331	-0.0514343638	-0.0471018445	-0.0421641804	-0.0111340726	-0.0346096307	-0.1103796851	0.0138807958	-0.0060950754	-0.0620362354	-0.053455972	0.1035542772	0.0881710532	0.0044655454	0.0702373439	0.0712841489	0.0153447536	0.0075824864	-0.0721107708	0.099586908	-0.0033887013	0.1224543113	0.1347084411	-0.1304685371	0.1487892826	-0.0300344864	0.0788161212	0.0204077313	0.0175045514	-0.0571783313	0.0473272438	-0.0825930537	-0.0039933718	0.2186865814	-0.0450469492	-0.0391894781	-0.0289534366	-0.0135043729	-0.1066977044	0.0080100817	-0.0160410083	-0.0569800597	0.060956537	-0.036762831	-0.131409044	0.0750878512	0.0355281848	-0.0518704975	0.0419435443	-0.0175672901	0.0304735246	-0.0718355316	0.1018657614	-0.0384827486	-0.0174995984	0.0853178156	-0.1268325731	0.0428287417	-0.2501892579	0.0964671274	-0.0363599003	-0.034555434	-0.0017584086	0.0738156049	-0.1002368822	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0725130999999999	-0.0315099000000001	0.0052581496716099	0.00099287379801	0.050095	0.0106867	0.00011420555689	0.002509509025	0.249187	0.0046139999999999	2.1288995999999808e-05	0.0620941609689999	-0.00220278	0.0006527999999999	4.261478399999998e-07	4.8522397284e-06	0.00122868	1.661999999999996e-05	2.7622439999999867e-10	1.5096545424e-06	0.00376838	-0.00026302	1.42006878244e-05	6.917952040000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.150048512	0.8249377344	-0.09783957469	-1.346561876	0.8659889486	1.294838033	1.52964236	0.437252869	-0.243372752	-0.5651452819
