global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	aroma_motion_01	aroma_motion_05	aroma_motion_08	aroma_motion_09	aroma_motion_10	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_21	aroma_motion_22	aroma_motion_23
6155.24615838192	n/a	37887055.27027539	n/a	8965.42722770202	n/a	80378885.37522075	n/a	5660.675419000796	n/a	32043246.19927984	n/a	5963.797668236744	5944.58169446777	n/a	n/a	n/a	n/a	-0.0767966533	-0.0218258407	0.0234254193	-0.0754353185	0.0765207355	-0.0056150578	0.0032260594	-0.0935937005	-0.0557677117	0.0503017464	-0.0808416248	0.0565090013	-0.0001411794	0.0264724124	0.0016120072	-0.0223074679	0.0951354462	-0.0514678415	0.0975912336	-0.0477387452	0.0934222652	-0.0347042641	0.1441058509	-0.0286875705	0.0032927685	-0.0966821885	0.0601281196	-0.0019581642	0.0112891269	-0.044832986	0.1063243877	-0.049971669	0.230889633	-0.0359618031	-0.0918335204	0.0600514179	-0.0345494242	-0.0223132848	0.0649257139	0.0445368697	-0.145256723	-0.123775656	0.0478374899	0.0845509796	-0.1860338749	-0.1157544396	-0.0829911468	0.0435641333	-0.0075741025	0.0019242108	-0.03270137	-0.0028320637	0.0463985231	-0.122439778	0.1209308556	-0.0227817702	0.0221609369	-0.0295189057	0.0530642477	-0.0462760893	0.0248034063	-0.0907581594	0.0042675478	-0.009615544	0.1765130765	-0.0932620184	0.1300852074	-0.1293544018	0.0716460443	-0.1285965625	0.1118854909	-0.0751640137	0.1277249479	0.0087818581	-0.0134184839	-0.0547859838	0.0374863277	0.064235237	-0.1229677419	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0687537	n/a	0.00472707126369	n/a	-0.238585	n/a	0.056922802225	n/a	-0.27013	n/a	0.0729702169	n/a	-0.00996197	n/a	9.92408462809e-05	n/a	0.000822924	n/a	n/a	6.772039097760001e-07	0.00119309	n/a	1.4234637481e-06	n/a	0.0	0.0	0.0	0.0	0.0	2.120091591	-0.1980031304	-0.5108965404	-0.6815407229	-1.155420636	0.0226449323	-1.462626624	0.7387391363	-0.5485628153	0.9461422027	-0.9527879736	-0.2479858129
6124.244226871654	-31.00193151026633	37506367.35037079	961.1197573672443	8816.338541102827	-149.08868659919426	77727825.27133512	22227.436471872767	5647.541878446346	-13.13354055444961	31894729.268805288	172.48988749537256	5934.442448169771	5872.512840964631	1.00707	32.566059	0.1179656999999999	0.0890305	-0.0996806535	-0.0211213891	0.0978090344	-0.0776879604	-0.0412520241	0.087299751	0.113167782	-0.0667267298	-0.067225385	-0.0493423473	-0.127383691	0.0538887343	-0.0313111375	-0.0305027589	-0.0105259044	-0.0629977662	0.0635526659	-0.1343480634	0.0929658571	-0.0573354486	0.14387819	0.0186626286	0.0962264555	-0.0666098493	-0.0751323695	-0.0461829546	0.0114043007	-0.0364252635	-0.051940508	0.0931695088	-0.052866599	-0.0212432939	0.1338714473	0.0177853799	0.0516576609	0.1279865622	-0.063750043	-0.0158224027	-0.0544910258	0.074219127	0.0780750289	0.0007280678	-0.0545676619	0.1047649697	-0.0226064631	-0.1052750338	-0.1230586182	0.0343235585	-0.0206629274	0.0720488617	0.0388534952	-0.0741752949	-0.0431953	-0.0923015446	0.0481543848	0.0333630454	0.0894054725	-0.0577247711	0.0489449538	-0.1630332612	0.0407802301	-0.1655876072	-0.0192226447	-0.1435693038	0.1681568467	0.0081506854	-0.0667142869	0.0945027004	0.0267328383	-0.1456802888	0.0686431142	0.0357940808	0.0219417119	-0.0091279275	-0.0915776604	0.1042206839	-0.0790717564	0.1098755868	-0.0424396041	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0582393	-0.0105144	0.00339181606449	0.00011055260736	-0.239215	-0.00063	0.057223816225	3.969000000000245e-07	-0.25531	0.01482	0.0651831961	0.0002196324	-0.0115965	-0.0016345299999999	0.0001344788122499	2.6716883208999955e-06	0.00092065	9.772599999999992e-05	9.550371075999982e-09	8.475964224999999e-07	0.00108532	-0.0001077699999999	1.1779195024e-06	1.1614372899999972e-08	0.0	0.0	0.0	0.0	0.0	2.18781065	0.3563307595	-0.6519987549	-0.5599608977	-0.990944015	0.3037901949	-1.429840692	-0.3273116922	0.4101542906	0.5938964431	-0.7539891185	-1.393366156
6138.725767933513	14.481541061859389	37683954.053890906	209.7150315263196	8989.97753524953	173.63899414670414	80819696.08429123	30150.500288279152	5653.506143387551	5.964264941204419	31962131.713320777	35.572456288880154	5945.455475935272	5918.524544396726	0.970152	31.372221	0.0310502999999999	0.0181401	-0.1013744281	0.074147146	0.0338792077	-0.0920331115	-0.1328159122	-0.0253417617	0.0471535848	0.0227123823	0.0185641915	0.1019070701	-0.105080648	0.0617466086	-0.0800759967	-0.0507549566	-0.0277891628	-0.0325953062	0.0705447652	-0.0064454241	0.0006666963	-0.0240698145	0.0926503897	-0.0513776863	0.0791010768	-0.1349863262	0.0465045961	0.0567314109	0.0331261673	0.1452856473	0.0441804361	-0.0897240384	0.063019862	0.0738434071	0.0165750644	-0.02511438	-0.1644693253	0.1493239263	-0.0215998674	0.0140919312	-0.0372425375	0.1252529392	0.0884174335	-0.0080753455	0.0969197818	-0.1044043419	0.0338078807	0.0458547588	-0.1020041042	0.0299166372	0.0108373264	0.1054312611	0.0790110377	-0.0350628755	0.0461111429	-0.0837973903	0.0432983283	0.00015183	-0.0690704008	0.0264681662	0.0860764268	-0.1002662206	0.0035697217	0.0647339456	0.1284683571	-0.1583719871	-0.0254850636	-0.0362181554	0.0103868666	-0.0398693319	0.0035155118	0.1001211987	-0.0615106554	0.0170008829	0.1721636758	-0.0007003072	0.0935063087	-0.0066632453	0.0699938364	0.1418925443	-0.1503397413	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0586228	0.0003835	0.00343663267984	1.4707225000000144e-07	-0.224814	0.0144009999999999	0.050541334596	0.0002073888009999	-0.25531	0.0	0.0651831961	0.0	-0.0115623	3.4199999999999856e-05	0.0001336867812899	1.1696399999999902e-09	0.000819122	-0.0001015279999999	1.0307934783999984e-08	6.709608508840001e-07	0.000895732	-0.000189588	8.02335815824e-07	3.594360974400003e-08	0.0	0.0	0.0	0.0	0.0	2.27978298	-0.02479182475	-0.2382836366	-0.2732645022	-1.117589824	0.09422747446	-1.660522265	-0.1257989336	0.1674875155	0.3719079643	-0.6700980413	-2.116163154
6147.814795352543	9.089027419029662	37795626.75795563	82.610419423873	8919.758082607925	-70.21945264160604	79562084.2522494	4930.771529286753	5661.04928619842	7.54314281086954	32047479.020767644	56.899003465172825	5953.158732086307	5906.912418478394	0.962672	31.130339	0.05245955	0.024215	-0.0945917767	-0.0228954916	0.0595606795	-0.0600021731	0.0038665633	0.0393011083	-0.2122410111	0.2257904056	-0.105005966	0.1372827849	-0.0847264457	0.0593147651	0.0063034055	-0.0711540679	-0.0107371946	-0.0310505206	0.048933782	-0.0338756894	-0.0177360182	-0.0169645493	0.035437209	-0.0649291351	0.0815704079	-0.0823047652	0.0913519379	-0.0861553204	0.1378754128	-0.0442284786	-0.148013842	-0.0485599547	-0.0242120866	0.0808507627	0.0128292306	0.1764813085	-0.2221249087	-0.0564547691	0.0453652924	-0.0624892511	-0.2357926224	-0.1451532015	0.0935732712	-0.0011486428	0.0533505565	0.0325361915	0.1699625152	0.1071903014	-0.0891803124	0.0444677586	0.0090955741	-0.0054809047	0.0638834822	-0.0631791864	0.0353834635	-0.0614520544	0.0360338288	0.0628865631	-0.0151989067	0.0462231013	0.0864382238	0.0827304257	-0.1870176771	-0.0779615924	0.2184040921	0.1313080857	-0.0364783252	-0.0540013254	0.1240991383	0.0877142825	-0.1325196192	-0.040495106	-0.1261019627	-0.0230302109	0.0920588708	-0.193061637	0.2149211065	-0.1164906167	-0.0228329555	0.1034119118	0.1175703051	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0470203	-0.0116025	0.00221090861209	0.00013461800625	-0.230654	-0.0058399999999999	0.053201267716	3.410559999999981e-05	-0.272549	-0.017239	0.074282957401	0.000297183121	-0.0115764	-1.4100000000001264e-05	0.00013401303696	1.9881000000003568e-10	0.000989855	0.0001707329999999	2.9149757288999983e-08	9.79812921025e-07	0.00106646	0.0001707279999999	1.1373369316e-06	2.9148049983999998e-08	0.0	0.0	0.0	0.0	0.0	2.229161385	-0.4413257932	-0.02435943423	-0.6915748133	-0.4638064788	0.2437288419	-1.490123717	0.4934817404	-0.4762382875	0.5632734207	-0.2853223575	-1.351323478
6140.669269112468	-7.145526240075014	37707819.072622254	51.05854524760057	8931.804699115217	12.046616507292129	79777135.18313667	145.1209692737632	5661.247345919984	0.1980597215633679	32049721.51168606	0.0392276533057588	5951.549020489433	5917.622959883579	0.896335	28.98517	0.12173955	0.0783415999999999	-0.0919995509	-0.0481596076	0.042944495	-0.063025313	0.052144354	0.0231391461	0.018904304	0.0958794999	-0.0910749282	0.020169158	-0.0969464625	0.0618857422	0.0164567585	-0.0055160994	-0.0122023375	-0.0582310673	0.0445392735	-0.0254931641	-0.0260600271	0.0424468254	0.028460823	-0.1582475059	0.0207797105	-0.0124657007	0.1484474634	-0.1650558813	-0.0876282995	0.0669861471	-0.0795907342	0.1718502593	-0.0706107654	-0.1178315112	-0.1229707397	0.018887805	0.0096686484	-0.1676294894	0.0467957455	0.0276821753	0.0549223169	-0.0641182893	-0.1033568669	0.1247476213	0.116913152	-0.0687473912	0.0912892307	0.1460290787	-0.0944109349	0.0646241355	-0.0281658656	-0.0192191584	0.0081191165	-0.0976438956	-0.0291611907	0.0188967834	-0.0226337684	0.0091661758	-0.0113819836	0.0321168509	0.207047511	0.0364778627	0.0155085748	-0.093777799	0.1660748965	0.1019764044	0.0216469811	0.0488410266	-0.0389708996	-0.0023857407	-0.1360642076	-0.0277310699	-0.0249341371	0.0783863811	-0.1458400695	0.1198032092	-0.0690291448	-0.1539877984	0.0036258859	-0.1342594962	0.083304166	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0546244	0.0076040999999999	0.0029838250753599	5.782233680999993e-05	-0.270307	-0.039653	0.073065874249	0.001572360409	-0.20584	0.0667089999999999	0.0423701056	0.0044500906809999	-0.0115796	-3.2000000000000778e-06	0.00013408713616	1.0240000000000498e-11	0.000864026	-0.0001258289999999	1.5832937240999985e-08	7.46540928676e-07	0.00104002	-2.643999999999997e-05	1.0816416004e-06	6.990735999999983e-10	0.0	0.0	0.0	0.0	0.0	2.093640379	0.09407554646	0.04918620347	-1.187044775	-1.12857321	-0.05001651529	-1.739154343	0.9464794919	-0.4901955299	0.8464290531	-1.224034366	-1.197654013
6162.271670801704	21.602401689236103	37973592.14476523	466.66375874311086	9000.447218379735	68.64251926451834	81008050.13083951	4711.795450979772	5667.409744265683	6.16239834569933	32119533.20939761	37.97515337107784	5960.829687506618	5989.589713235182	0.957129	30.951109	0.0620970499999999	0.0311379	-0.0786076029	-0.0780603562	0.1122312513	-0.0221729286	0.0373178814	0.0480099828	0.0749952069	-0.0155501374	-0.0930620011	0.073127606	-0.073486991	0.0827080915	-0.0711564911	-0.0627152757	-0.0080825465	-0.0583238296	0.100212889	-0.112214046	0.1029018154	0.0406986294	0.0302656511	-7.58302e-05	0.0643836866	-0.1190672152	-0.0152487821	0.0316429183	-0.0078102806	0.0276855524	0.067596027	0.0153999294	0.0055464423	0.0354410476	-0.0215382188	0.0590990627	0.0523244305	-0.0818870073	0.0140212733	-0.02283419	0.1536708564	0.129900969	-0.1145675421	-0.2147647463	0.035748337	-0.0330974277	0.0754463521	0.0312684532	-0.0659995105	0.0581407431	-0.0540569321	0.0648550008	0.07583014	-0.0469154927	-0.030767773	-0.1141062093	0.1018849874	-0.0632226273	0.1140258388	0.0276160649	0.0705228782	-0.0341441623	0.0339335941	-0.1112195228	-0.0609143448	-0.0688391268	0.0066491812	-0.0506484658	-0.0043551045	0.0207862324	0.0318967499	-0.0092466271	0.0696399312	0.0548102102	-0.0462078455	0.0014738413	0.0116409917	-0.0692261968	0.0420223475	-0.0711346571	-0.1188518544	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0560859	0.0014615	0.00314562817881	2.135982250000013e-06	-0.289876	-0.019569	0.084028095376	0.000382945761	-0.204723	0.001117	0.0419115067289999	1.2476890000000153e-06	-0.0118296	-0.0002499999999999	0.00013993943616	6.249999999999924e-08	0.000609935	-0.000254091	6.4562236281e-08	3.7202070422500004e-07	0.00074512	-0.0002948999999999	5.552038144e-07	8.696600999999998e-08	0.0	0.0	0.0	0.0	0.0	2.0945832	0.6521507313	-0.4992124783	-0.3237003157	-0.4648726656	0.4648969674	-1.375226603	0.4173462531	-0.1038967079	0.8873137897	-0.281153697	-0.5953975206
6169.536856160156	7.265185358452072	38063185.01951855	52.782918292666366	8943.476105185033	-56.97111319470241	79985764.84401564	3245.707738643596	5669.459824486316	2.05008022063339	32142774.70146441	4.20282891103225	5964.680496360705	6011.811250150801	1.326706	42.902271	0.43267745	0.259551	-0.0494911266	0.130548222	-0.1237544303	-0.0747762203	-0.1411648491	0.0183324887	-0.0619617839	-0.1305857282	0.0737191652	-0.0217182263	-0.0666700426	-0.0365697437	-0.0473183985	0.0214297595	-0.0049898575	-0.0720683044	-0.0290220804	0.1423822329	0.0029382568	0.0857648806	-0.0524967413	-0.2095019223	-0.1172499781	0.02395297	0.0116874032	0.0021597341	0.1977661404	0.0223417514	-0.081502917	-0.1615704909	-0.0535603582	-0.1778305955	0.0443107248	-0.1182886946	-0.00076433	-0.1552716607	0.0466617693	-0.0220380347	0.0085909505	-0.0108587921	0.0072290923	-0.0685243195	0.0365650546	-0.0069246662	-0.1006698913	-0.0202472001	-0.0691392496	-0.0520609021	0.0792188431	0.0740825021	-0.0224922084	-0.0008171411	0.1040907365	0.0790334517	0.0421469998	-0.010699117	-0.0816147524	-0.0577474951	0.1634677653	0.0344415743	-0.0574212971	0.2547218852	0.0724028701	-0.1119150337	-0.0074923338	0.1118233769	0.0302793868	-0.0656507335	0.0730947347	-0.0784385205	0.1660569033	-0.0357034288	-0.1940803401	-0.204105965	0.0950332867	0.0421804074	-0.0506105217	0.1558547172	0.0207012942	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0423883	-0.0136976	0.0017967679768899	0.00018762424576	-0.195837	0.094039	0.038352130569	0.008843333521	-0.358688	-0.153965	0.128657081344	0.023705221225	-0.00877266	0.0030569399999999	7.69595634756e-05	9.344882163599996e-06	0.000397005	-0.00021293	4.53391849e-08	1.57612970025e-07	0.000595473	-0.000149647	3.545880937290001e-07	2.239422460900001e-08	0.0	0.0	0.0	0.0	0.0	2.354269046	-0.9544882443	0.2940592959	-0.441443344	-1.274042554	-2.189076675	-0.05504202113	0.5086700341	-0.115789175	1.077298529	-1.851925269	-2.633118154
6189.983703970484	20.44684781032811	38315898.25542016	418.0735853787194	8956.092096971572	12.61599178653887	80211585.64943664	159.16324875801624	5676.894358655227	7.434534168910432	32227129.55933154	55.27229830869672	5962.382580245643	6075.866003699876	1.166513	37.722054	0.29041735	0.190332	-0.0330640687	0.0259241173	-0.033381303	-0.073887273	0.0488424339	-0.0854605627	0.0220325275	0.0528077694	0.0741092133	-0.0998672919	-0.0383338379	0.0100283605	0.0503535924	-0.0810234352	-0.0773805215	0.0270789392	-0.0273385854	0.0950927562	-0.0503594133	-0.0565626156	-0.0683344583	-0.147226453	0.012327389	-0.0272241244	0.0299255782	-0.1491684479	0.0809422414	0.1185237984	-0.0196156311	-0.0848754576	0.0320960819	0.0747413091	-0.0424956455	-0.1261429709	0.0069724535	0.0301098143	-0.0209471442	-0.0191087892	-0.0656133391	-0.145560299	0.1210671129	0.1608110532	0.0898722174	0.0914809077	0.1039900869	-0.1773847351	-0.0422791303	0.011387253	0.0072848206	-0.0599960106	0.0799624908	0.0295332334	0.0247026875	0.1143476935	-0.0250612983	0.082507002	-0.0349265724	0.0526414583	0.110623366	0.0566374534	0.0747250775	0.0392360318	0.1067519083	-0.0020310597	0.0763020294	0.0255431202	0.1840566795	-0.0504566207	-0.0555413049	0.0213216166	-0.0644412198	-0.0180696084	0.0730649116	-0.0529289924	-0.0833781807	0.0607099848	0.1202376534	0.0098969855	0.0524331049	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0469186	0.0045303	0.0022013550259599	2.052361809000001e-05	-0.249196	-0.0533589999999999	0.062098646416	0.0028471828809999	-0.202866	0.155822	0.0411546139559999	0.024280495684	-0.0101324	-0.00135974	0.00010266552976	1.8488928676e-06	0.000464773	6.776799999999995e-05	4.592501823999994e-09	2.16013941529e-07	0.000702086	0.0001066129999999	4.929247513959999e-07	1.1366331768999994e-08	0.0	0.0	0.0	0.0	0.0	2.057684511	-0.03891525186	0.5926719249	-0.9742795469	-2.1348886	0.9405129689	-1.862509893	0.4847893136	-0.8442070934	0.6275082445	-2.136168115	-0.9393602776
6208.73768326367	18.753979293185694	38548423.61957832	351.7117393292378	9005.517019829333	49.424922857760976	81099336.79443578	2442.822999495623	5684.588035696437	7.6936770412103215	32314541.13558308	59.192666414446805	5972.813668215772	6174.13733028486	0.887237	28.690989	0.184071572	0.102055	-0.0119599107	-0.0225224602	0.115946991	0.0004019606	0.115376239	-0.0626298033	0.0478139879	0.0543534775	-0.0859120538	0.0397871367	-0.0241451121	0.053662969	0.0189881406	-0.1006098158	-0.047067092	0.0063549203	0.0304713433	0.0469757497	0.0906122253	0.0551971179	-0.0742945243	-0.0209981196	-0.0637000697	-0.0888225894	0.0268211454	-0.0365967863	-0.1370376088	0.0432068854	0.0413911847	0.1123710468	0.025850038	-0.0249814123	-0.0800455474	0.0172899848	0.1788053143	0.0477300363	0.0025021846	0.1173484626	0.0301945909	0.0055163571	0.1269781782	0.1121885192	-0.0492877851	-0.0920087676	0.0080135732	-0.1456183895	-0.0182980297	0.0466011369	-0.0416824468	-0.056296825	0.1118211832	0.0169972025	0.0078961124	0.0669842386	0.0270491993	-0.080673387	0.0468466027	0.0846099654	0.078322598	0.0328860475	0.0359582754	-0.0712290547	-0.0392900852	0.0711898847	-0.0630526773	-0.0264909173	0.0517918607	-0.0253630189	0.0231288876	0.0313813591	-0.0945905939	0.0170774903	0.0162481493	0.2029744189	-0.122775201	0.0280190986	-0.0747028635	-0.2132345463	0.035343031	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.040132	-0.0067865999999999	0.001610577424	4.605793955999996e-05	-0.285569	-0.036373	0.081549653761	0.001322995129	-0.118461	0.084405	0.014033008521	0.0071242040249999	-0.0105349	-0.0004025	0.00011098411801	1.6200625000000006e-07	-5.86244e-06	-0.00047063544	2.214977173839936e-07	3.4368202753600004e-11	0.000445082	-0.0002570039999999	1.9809798672400002e-07	6.605105601599998e-08	0.0	0.0	0.0	0.0	0.0	1.985318045	0.3750327339	0.2789147708	-0.7064405379	-1.188548671	0.4700622895	-2.357135206	0.9990634497	-0.2933779547	-0.4200169178	-1.284943393	-0.1909261561
6210.112002087856	1.374318824186048	38565491.07847564	1.8887522305121216	9020.83767538476	15.320655555427948	81375512.36564113	234.72248664806523	5684.673286848911	0.0852511524735746	32315510.3782136	0.0072677589980726	5970.2531916319485	6249.320030607606	0.961873	31.104502	0.1570769279999999	0.0952818	-0.0114853197	-0.0176438025	0.2023899867	0.037329972	-0.002623047	0.0097598874	0.1427994579	-0.0350145021	-0.0948538044	0.1308273996	-0.0182566649	0.064118506	-0.0645873993	-0.1069351686	0.0088640677	0.0325167811	0.0725551741	-0.0203201591	0.0962716988	0.1017071084	-0.0352902251	0.1575650243	-0.0274456786	0.1060466526	0.0649667878	0.0017077113	-0.2029702756	-0.1001243633	0.0369726086	0.1085492735	0.0572477687	0.0579632836	-0.0092880061	0.0229700693	0.1278191743	-0.0128267504	-0.0812884334	-0.0977568009	-0.0360062087	-0.0078912254	-0.1336259688	-0.0863391157	-0.1365048311	0.086151466	-0.004634185	0.0918233949	-0.0030656364	0.0550168222	-0.080736473	0.0640238193	0.1250947809	0.0252050238	-0.0943815902	-0.0689705935	0.0483534617	-0.1533774494	0.0729689895	0.0097444787	-0.1120892721	0.027518108	0.1024423704	-0.0293187969	-0.0254267374	0.0284573558	0.025097531	-0.040987719	-0.2121797768	0.0902226412	-0.0231088607	0.1198171083	0.1337347759	0.0055891999	0.0215966366	0.0919603421	-0.0199540991	0.1626710466	-0.0888232934	-0.1034779856	0.146153353	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0470708	0.0069388	0.00221566021264	4.814694544000003e-05	-0.332542	-0.0469729999999999	0.110584181764	0.0022064627289999	-0.0366468	0.0818142	0.00134298795024	0.00669356332164	-0.0104918	4.309999999999904e-05	0.00011007786724	1.857609999999917e-09	-0.00016749	-0.00016162756	2.6123468151553602e-08	2.8052900100000006e-08	0.000222791	-0.000222291	4.9635829681e-08	4.941328868100002e-08	0.0	0.0	0.0	0.0	0.0	1.773728894	0.8275773673	-0.04191591491	0.2111740974	0.07780226894	0.9616454997	-1.588082342	0.5257976748	1.005903748	-0.1332406618	-0.7742712661	-0.08634714892
