global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	aroma_motion_01	aroma_motion_02	aroma_motion_07	aroma_motion_09	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_19	aroma_motion_20
5383.297789127807	n/a	n/a	28979895.086428333	8084.901479677332	n/a	n/a	65365631.93608871	4136.64214273744	n/a	n/a	17111808.2170714	4422.947551229528	5171.267724262183	n/a	n/a	n/a	n/a	-0.1006697414	0.1243766023	-0.0197441568	0.023390077	-0.0055761335	-0.0007452951	0.0630557636	-0.0764431671	-0.0087245216	0.0942536733	-0.0614313672	0.0207591736	-0.0586246196	0.0789047976	-0.1315699203	0.0349736018	-0.0892654028	0.121033853	-0.0226112557	0.1180062243	0.0333155664	-0.0447943406	0.1720917697	-0.0744842804	0.0028445289	-0.004044908	0.1538634073	-0.0494016464	0.1089595254	-0.0148608527	0.0966754707	-0.162745118	-0.0203348919	0.0858328883	0.0072243072	-0.0423499402	-0.0754683146	0.1132665885	0.0712665106	-0.0753868449	0.0835222882	-0.0546368652	0.0065796318	-0.0774697973	-0.0143504181	0.1161786719	-0.073854855	0.0735379224	-0.0829139282	0.1623507873	-0.0915810652	0.0842610575	0.0178612759	-0.0061568392	0.0874243189	-0.082728072	0.0682095974	-0.0806056663	0.036562674	-0.173740126	0.0382151439	-0.035092519	0.154100495	-0.0658140759	0.096164434	-0.0518484568	0.0382703606	0.0210162462	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0270552	n/a	0.00073198384704	n/a	-0.082763	n/a	0.006849714169	n/a	0.190686	n/a	n/a	0.036361150596	-0.000942742	n/a	8.88762478564e-07	n/a	-9.26534e-05	n/a	8.58465253156e-09	n/a	-0.000424067	n/a	1.7983282048899998e-07	n/a	0.0	0.0	0.0	0.0	-1.592384457	-0.544298116	-1.398796679	-2.273002145	-0.870801271	0.1474011987	-0.04852384567	-0.9618036744	-1.108166134	-0.8373921859	-0.336943832	-2.334742741	-0.5344046917
5410.966815660964	27.669026533157197	765.5750292925568	29278561.880184155	8134.434734820492	49.53325514316021	2453.543365077406	66169028.45505413	4169.346911466424	32.70476872898416	1069.6018976163405	17383453.66815461	4460.539432888154	5310.482161297105	0.918453	34.519405	0.204883275	0.124267	-0.0740055896	0.0223799861	-0.0127889823	0.1415228151	0.1208199697	0.0286090587	-0.0379090344	0.0424410899	0.1738693245	0.0698096405	-0.0976001126	-0.0548712671	-0.0823803615	-0.1190271002	-0.0667619151	0.0860061663	0.1527565747	0.1129401339	0.1042090506	0.0630395659	-0.0341242013	0.1800673735	0.0863247295	-0.0810709633	-0.0039953369	-0.1154955775	-0.0820877271	-0.0689956839	0.0220754414	-0.1671012142	0.114620467	-0.0507094295	-0.0948413293	-0.0425794614	0.0241498055	-0.1029226888	0.0444553075	-0.0165218016	0.1543553017	0.0328030462	0.165183476	0.1345644634	0.0401807398	-0.0670457783	-0.0829623101	-0.0474919922	-0.0017996119	0.1383769791	0.0116069739	-0.1136248691	-0.1491766078	0.0165220357	-0.0590360426	0.0605003663	0.0468779711	-0.0400205565	-0.0915156409	-0.1733925056	-0.0080455253	-0.0099944684	0.0368065096	-0.0188889255	0.0829410103	-0.0622129458	-0.2181824042	-0.0497263859	0.1387935084	0.0139096124	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0449676	0.0179124	0.00202208504976	0.00032085407376	-0.0527695	0.0299935	0.00278462013025	0.00089961004225	0.0853083	-0.1053776999999999	0.0111044596572899	0.00727750604889	-0.000413758	0.0005289839999999	1.7119568256400004e-07	2.798240722559999e-07	-0.000124965	-3.23116e-05	1.5616251225e-08	1.0440394945599999e-09	4.66309e-05	0.0004706979	2.17444083481e-09	2.2155651306441e-07	0.0	0.0	0.0	0.0	-1.400129381	0.00497870708	-0.9320474393	-1.450677687	-1.260564768	0.4051732692	0.3049253479	-0.7041635221	-0.1468116559	0.4136254888	-1.58286326	0.3622458829	-1.8608984
5363.641410184007	-47.3254054769568	2239.694003558373	28768649.177040685	8074.369244272924	-60.065490547567606	3607.863154719933	65195438.692860514	4134.645411411245	-34.70150005517917	1204.1941060795998	17095292.67810406	4423.656318840303	5089.550595113297	1.049762	39.454548	0.39334436	0.228225	-0.1111029341	0.1185260832	0.1449712237	0.0056104972	0.0418598139	-0.0681527824	-0.1826160454	-0.1246017811	-0.1147990511	0.0369551102	0.0855211821	-0.1672723902	-0.0741251892	-0.0112725107	0.0474907832	0.0997097934	0.063368943	-0.0074647967	-0.0566119194	0.0459633038	-0.0146689573	0.0317268504	-0.0354050208	-0.0094574297	-0.1297990445	-0.0967767401	0.0398194999	-0.0566076899	-0.0596847025	-0.0639507267	0.0163404678	-0.1137461549	0.1437204579	-0.0337944435	0.0076089809	-0.0177694188	0.1152653409	0.0781768997	0.0457564863	-0.1311509128	0.0042430235	-0.0930174523	0.1187177748	0.1303194504	-0.0806986081	0.0475044472	0.1113189076	0.0018837741	0.001332828	-0.066292639	0.0059018105	0.0339658218	0.0350942868	0.1337425087	-0.0474897691	0.1648951368	-0.0585771212	-0.0611903137	-0.1422494699	-0.0527208283	-0.0089425082	0.0145576659	-0.0067354973	-0.0250201284	-0.0774163995	0.1094449669	0.0217392976	0.0243295845	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0319445	-0.0130231	0.00102045108025	0.00016960113361	0.101732	0.1545015	0.010349399824	0.02387071350225	-0.0668418	-0.1521501	0.02314965293001	0.00446782622724	0.000213437	0.000627195	4.5555352969e-08	3.93373568025e-07	-0.000832867	-0.000707902	6.936674396890001e-07	5.011252416040001e-07	-9.16653e-05	-0.0001382962	8.402527224090002e-09	1.912583893444e-08	0.0	0.0	0.0	0.0	-1.396002222	-1.527510623	-1.68130382	-1.215624714	-1.170131028	-0.5163047845	-1.047084787	0.5072276558	-1.036105758	-0.7414959589	-1.548067566	-1.853960897	1.078345585
5404.921169352135	41.27975916812738	1704.0185169785968	29213172.846910845	8111.436273714872	37.06702944194785	1373.9646716502289	65795398.42253741	4153.537556863825	18.892145452579825	356.9131598014326	17251874.23627831	4441.602716218913	5193.329162420699	1.017891	38.256702	0.439979535	0.273703	-0.0995160878	0.0852795421	-0.0382977856	0.0726517721	-0.0026247421	0.001406858	0.0941626764	0.0025284695	0.0844440663	0.0780358443	0.0786353581	-0.0774111798	0.003268973	0.0490562695	-0.1738664432	0.0059491527	-0.0148671361	0.1499404126	-0.0775229981	0.0474293537	-0.1110943935	-0.0273394095	0.0244241449	-0.0093006483	-0.0662272444	-0.0330244002	-0.0408021311	0.1543707361	-0.0804649241	0.0832341727	-0.1058102662	-0.0169101598	0.0480816325	0.0214851567	-0.029274302	0.0534737996	0.060553684	0.1160609546	-0.0361500748	0.0035688461	0.1159294982	0.040663301	-0.0028196493	0.1037329563	0.0472423891	0.0936310685	-0.082911751	0.1147878558	-0.0392120151	0.0997013722	-0.0850545224	-0.0680509704	0.0105885454	0.0432893617	-0.0482060937	0.0250758608	-0.0182224527	-0.1189090081	-0.0611496234	0.0066744645	-0.0714255214	0.0386371548	-0.1221799563	-0.024824601	0.1303918009	0.0484929832	-0.1763389872	0.0262725718	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0271964	-0.0047481	0.00073964417296	2.2544453610000012e-05	-0.0652651	-0.1669971	0.00425953327801	0.02788803140841	0.12984	0.1966818	0.03868373045124	0.0168584256	-0.000706907	-0.000920344	4.99717506649e-07	8.47033078336e-07	-0.000620067	0.0002128	3.84483084489e-07	4.528384000000003e-08	-0.000389572	-0.0002979067	1.5176634318399997e-07	8.874840190489e-08	0.0	0.0	0.0	0.0	-1.928448328	-0.1311555449	-1.507855029	-1.90200556	-0.5467839637	0.7178887788	0.4428721504	0.2288864351	-0.06536252852	0.6067569733	-1.208693645	-1.533492064	-1.055838172
5405.3562939356925	0.4351245835578083	0.1893334032163561	29217876.664390206	8071.462669260386	-39.97360445448612	1597.8890530837127	65148509.621264	4150.633888037309	-2.903668826515968	8.43129265408062	17227761.672523707	4442.395626906528	5362.295769448217	0.910891	34.23518	0.2237937	0.149572	-0.0665987516	0.1119020132	-0.1295183603	-0.0532538726	0.1116795764	-0.04475327	0.0004090294	-0.042902944	0.0151885788	-0.0004743312	-0.0143839358	-0.1575867118	0.0174867301	-0.0633229594	-0.0650287818	-0.0840971281	-0.0642462332	0.0499060949	0.0168944957	0.1093027387	0.1034606525	-0.0456251339	-0.0127974794	0.0163304952	0.1947341316	-0.0387603505	0.0715233763	0.0801297808	-0.0781103384	0.10547942	0.0171492342	-0.0433887039	-0.0039900547	0.0610310717	-0.084087335	-0.1202276116	-0.0617400849	0.0346807768	-0.0586313074	-0.0579073804	0.0540506621	0.0389098337	0.138082598	0.0466829102	0.0226922416	-0.0610873829	-0.1225032813	-0.0251018636	0.0106148365	0.0843637088	0.0036939892	0.0382407725	-0.1248720715	-0.0523332504	0.1411911126	0.0803061615	-0.0529663606	-0.0024875596	0.0137288313	0.0470035693	0.0192852895	0.0128919776	-0.0456420255	0.0570791747	0.1797172078	-0.0364645673	-0.0155739433	0.0093999785	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0310136	0.0038171999999999	0.00096184338496	1.4571015839999998e-05	-0.027637	0.0376281	0.0007638037689999	0.00141587390961	-0.0191256	-0.1489656	0.02219074998336	0.0003657885753599	-0.00115728	-0.0004503729999999	1.3392969983999998e-06	2.0283583912899994e-07	-0.000728742	-0.000108675	5.31064902564e-07	1.1810255625000004e-08	-0.00049818	-0.000108608	2.481833124e-07	1.1795697664e-08	0.0	0.0	0.0	0.0	-1.120195969	-0.9060175083	-1.054315166	-0.6656201739	-1.347649004	0.4536368482	0.04920971074	-0.4511953764	-0.7151406234	0.5814094129	-1.558641092	-0.4868995961	-0.2300881443
5395.092120201905	-10.264173733787176	105.35326243736657	29107018.98546469	8115.753655521958	44.29098626157156	1961.6914640227208	65865457.39711802	4145.293213668481	-5.340674368827422	28.52280271385018	17183455.827285964	4431.691150608423	5135.904426625472	0.970052	36.458721	0.27131967	0.141922	-0.1068315055	0.101786141	0.0375314996	0.0093192447	-0.0991671308	-0.0432652474	0.0337051723	-0.0728208377	-0.0687894708	0.0849468996	-0.0795264493	0.0877985923	0.0533657721	0.0291338506	-0.0621781171	0.1197009524	-0.0505182806	-0.0550863971	-0.0325969894	-0.0059532941	0.0628612004	-0.0352244367	0.0870572822	0.0174540329	0.0620660515	-0.1897296045	0.0951888354	-0.072387436	0.2030634664	0.0115986427	-0.0479748096	-0.0034845482	1.79779e-05	0.0619892567	0.0428773701	0.0130875644	0.1348927586	0.0805285412	-0.0101668082	-0.0679220593	0.033292598	-0.1116511268	-0.0407957625	-0.1073365853	0.0588922254	0.0305086808	0.0166178716	0.0968601258	0.03144008	0.0550582442	0.064827011	0.054777814	0.045757653	-0.1019649524	0.0437806481	0.0933628838	0.0210060021	-0.0695504887	-0.1117910527	-0.0660549831	0.1263313834	0.0793686869	0.1281539922	-0.0688888609	-0.0272006349	-0.1038064399	0.0443276784	0.1309178546	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0477002	0.0166866	0.00227530908004	0.00027844261956	-0.0088676299999999	0.01876937	7.863486181689823e-05	0.0003522892501969	0.113135	0.1322606	0.01749286631236	0.012799528225	0.000397166	0.001554446	1.57740831556e-07	2.416302366916e-06	-0.000390563	0.000338179	1.5253945696900005e-07	1.1436503604099998e-07	-0.000318743	0.0001794369999999	1.0159710004900001e-07	3.2197636968999985e-08	0.0	0.0	0.0	0.0	-1.631923619	-0.8824153976	-1.465052883	-2.058187864	-0.3503028244	-0.3698491608	-0.8229138111	1.08101116	-1.088908924	-0.1589838679	-0.02073117374	-2.031979891	0.3810114738
5461.056083713902	65.96396351199655	4351.244482212012	29823133.549468614	8149.121881941541	33.36822641958315	1113.4385343885672	66408187.44673844	4179.2150536861545	33.92184001767328	1150.69123018462	17465838.46495697	4463.966209096567	5518.346294953955	1.072445	40.307095	0.244596265	0.157991	-0.0392945408	0.0103007782	-0.0436877913	0.0680263621	0.1095262068	0.0779563859	-0.0246743362	0.0715517149	0.1354826555	-0.0087079704	-0.1408768089	-0.0540493952	-0.0830727591	-0.0110577003	-0.0255953213	0.0750410463	0.0539336138	-0.1233723791	0.0501623544	-0.0746909175	-0.0002207837	-0.0130581914	0.0621403354	-0.0897211076	-0.0141872201	-0.063991435	0.1220196072	-0.1204885795	-0.095719926	-0.0053473524	0.0531493208	0.1579206553	0.0182675775	-0.0986952168	-0.1835905086	0.0668699017	-0.122229706	-0.0529374336	-0.059679419	0.0594318824	0.080132833	0.1516423558	0.075488397	-0.1179808684	-0.0333241675	0.0589026319	-0.0326819741	0.0379271177	0.0223097208	-0.1189484206	0.0200520058	0.0750793974	0.0698091413	-0.0721517172	-0.0410442332	0.0514503397	-0.0066744049	-0.031033256	0.1017237639	-0.076436591	0.1362019716	-0.1127059308	-0.0118321949	0.0567022876	-0.0675875564	0.1129413235	0.073205767	0.0490322965	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0300768	-0.0176233999999999	0.00090461389824	0.0003105842275599	-0.0339178	-0.02505017	0.00115041715684	0.0006275110170289	-0.0390091	-0.1521441	0.02314782716481	0.0015217098828099	0.000491334	9.416799999999994e-05	2.41409099556e-07	8.867612223999991e-09	-0.000909032	-0.000518469	8.263391770240001e-07	2.6881010396100005e-07	6.41919e-05	0.0003829349	4.1206000256100015e-09	1.4663913763801e-07	0.0	0.0	0.0	0.0	-1.311936682	-0.1175920117	-0.4870626887	-0.7731484859	-0.2575193985	0.3998983438	-0.855010966	-0.5525830636	-0.2700839803	1.307725967	-0.4982842744	0.2629474881	-2.011408527
5417.580604259505	-43.47547945439692	1890.1173137896883	29350179.60364878	8087.086627866245	-62.0352540752956	3848.372748186479	65400970.12661304	4144.785224107843	-34.42982957831191	1185.4131647916015	17179244.553982697	4426.223202727623	5499.100685748763	1.124158	42.250694	0.352239505	0.206892	-0.0342570094	0.0849494155	0.0965601849	-0.1032267975	0.0966694818	0.0145544973	0.0015781135	-0.0959376069	-0.1168804561	-0.0741384016	-0.0211067271	-0.1601490596	-0.0646775075	0.0347649784	0.1300267469	-0.1890169462	0.0632662241	-0.2027007357	0.0344931739	-0.1750246868	-0.0118857339	0.0071864586	0.0003083354	0.0283646826	-0.0100644233	0.0578085305	0.1426223926	-0.162185763	-0.2052484342	-0.2311751677	-0.0781718618	0.0818139739	0.0221845214	0.0327702753	0.1593414825	0.0952153346	-0.1715027947	-0.0909858264	-0.1381354075	-0.104702756	-0.0806023962	-0.0440804878	0.1589638735	0.0392684881	-0.0036302436	0.0755272407	-0.0266852348	-0.1810387825	0.091420592	-0.2143341506	0.1564082548	-0.0584577975	0.0168274018	0.0029656361	-0.1115188738	-0.0413622927	-0.0667908396	0.095404341	0.0445936408	-0.0550704003	0.0398164831	-0.3594848386	0.1359915994	0.0808758657	-0.01500318	0.0454056115	-0.065420355	-0.1381526364	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0425089	0.0124321	0.00180700657921	0.00015455711041	0.0783965999999999	0.1123143999999999	0.0061460268915599	0.0126145244473599	-0.202573	-0.1635639	0.02675314938321	0.041035820329	0.000648722	0.000157388	4.2084023328400004e-07	2.4770982544000023e-08	-0.000203069	0.000705963	4.1237018761e-08	4.98383757369e-07	0.000479423	0.0004152311	2.2984641292900003e-07	1.7241686640721e-07	0.0	0.0	0.0	0.0	-0.8593939647	-1.892487409	-0.9715652872	0.2707403895	-1.603932713	-0.5117669612	-0.08863261501	-0.2978859011	-1.426353081	-0.04452747728	0.2305562073	-1.446531894	0.5171883419
5504.1608794340345	86.58027517452956	7496.14404929726	30295786.986692045	8250.971251483455	163.8846236172103	26858.169858154688	68078526.59280646	4194.108321748318	49.32309764047568	2432.767960851897	17590544.614558496	4475.018074611781	5746.346159973683	1.317293	49.509521	0.3856449704	0.242004	0.00293039	-0.0672246745	-0.0045023384	0.0983593766	-0.0056256572	-0.0055335771	0.1068073278	0.1137479594	0.1084995139	-0.0558319291	0.1554402829	-0.0605222529	0.0373746107	0.0630062229	-0.0810305053	-0.1183901846	0.0739418283	-0.0994366551	-0.1601511694	-0.1801410211	-0.1199831961	-0.05226379	-0.0831268212	0.0718111505	0.0397310021	0.1032037006	-0.152038788	0.0792113383	0.09017257	0.0247322824	0.1228416058	0.0196968483	0.1036524362	-0.0545806368	-0.0186967443	0.0414093091	0.0382804365	0.1614662685	-0.0890436658	0.1125513765	0.0077177078	0.1203165413	-0.0176740268	0.1557237328	0.0521540249	0.061780366	-0.0542548296	0.0339291971	-0.0605547622	-0.0075888034	0.1478404374	-0.2077889665	0.0141207883	-0.1033347618	-0.1861937652	-0.0387025613	-0.0242150289	0.080187512	-0.0257552651	0.1706219648	0.0656098426	0.1315878775	0.011968761	-0.0415961573	0.021678732	0.0990949466	-0.018675646	-0.1545834247	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0337616	-0.0087473	0.00113984563456	7.651525729e-05	-0.0784174	-0.1568139999999999	0.00614928862276	0.0245906305959999	-0.01404	0.188533	0.035544692089	0.0001971216	0.000959552	0.00031083	9.20740040704e-07	9.66152889e-08	7.06408e-07	0.000203775408	4.990122624640001e-13	4.152441690556647e-08	0.000595831	0.000116408	3.55014580561e-07	1.3550822464000006e-08	0.0	0.0	0.0	0.0	-0.8518151389	0.08656001205	-0.779912516	-1.053006167	1.055457184	0.649371979	-1.056532715	0.4519808007	0.1919199944	1.567509771	-0.2001222932	0.3527041422	-1.505608342
5479.308197245676	-24.852682188358813	617.6558119555674	30022818.320403658	8175.543394081156	-75.4278574022992	5689.361672301582	66839509.788504034	4165.759367450948	-28.348954297370256	803.6632097543875	17353551.10750532	4451.309436600932	5858.956878052215	0.973456	36.586662	0.2961574204	0.160182	0.0312348884	-0.0136176928	0.0199307832	-0.0310753078	0.0390203443	0.1514931445	-0.0664839945	-0.0249107648	-0.0401755644	-0.0604424521	0.039806297	-0.0942477235	0.1340615959	-0.0492724752	0.0628631428	-0.0180712745	-0.1588667105	-0.0420461866	0.0145354355	0.0073831105	-0.0885226036	0.0315899259	-0.1032227099	0.1319776153	0.039564986	-0.0904521976	-0.1635390516	0.0369179589	0.0125001807	-0.0056660542	0.1072557388	-0.0210130177	0.0370463949	-0.089035297	-0.0120276868	-0.1022444655	0.0646202888	0.0033817712	-0.0107237291	-0.032409928	-0.0484087742	0.0055211159	0.0700279501	0.0880668627	0.1105064346	-0.0943795228	0.0638456288	-0.0466486891	0.098969266	0.1119310984	0.0055964619	0.0361097439	-0.035980994	0.033642331	-0.0902300671	0.0075400413	-0.0584444785	0.0581490448	-0.0853244776	0.2407842036	-0.0002247808	0.0241949107	0.0329518497	-0.0093533844	-0.0898517925	0.0278905247	0.0670235351	0.0034771532	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0528073	0.0190457	0.00278861093329	0.0003627386884899	0.052291	0.1307084	0.0027343486809999	0.01708468583056	-0.10908	-0.09504	0.0090326016	0.0118984463999999	0.000217052	-0.0007425	4.7111570704e-08	5.5130625e-07	-0.000249373	-0.000250079408	6.2186893129e-08	6.253971030563046e-08	0.000630518	3.468700000000004e-05	3.975529483240001e-07	1.2031879690000027e-09	0.0	0.0	0.0	0.0	-0.01551050467	-1.403083243	0.2232871279	-0.3459236147	-0.3008316608	0.0391215211	-0.2447195871	0.5980710674	-1.029035127	0.4956071471	0.02090046172	0.1937634668	-0.07131119917
