global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_02	aroma_motion_03	aroma_motion_08	aroma_motion_10	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_19	aroma_motion_20	aroma_motion_21	aroma_motion_22	aroma_motion_23
6141.277430450867	n/a	n/a	37715288.4777652	9638.543702296462	n/a	n/a	92901524.7010788	5358.828058749621	n/a	n/a	28717038.163242232	5755.371108554942	5961.782040156621	n/a	n/a	n/a	n/a	-0.0438042988	0.0685011331	-0.0545899273	-0.0263038042	0.0030646135	-0.1203973967	0.1523335338	0.0418688096	-0.011624683	0.0903887936	-0.0067935944	0.0868333747	-0.0194801388	0.0695766272	-0.1006450549	0.0829501467	-0.0079526421	-0.0004285871	0.044370578	-0.0828335039	0.0288378046	-0.0137266112	0.1401686762	-0.1589386132	0.115955611	-0.0687736387	0.0441837797	-0.0012693422	0.0248503645	-0.1751666789	0.0453351292	-0.1433796337	0.001684705	-0.0408853991	0.0762132151	-0.0241159637	0.0994646443	-0.0607667552	0.0016184947	0.0024059328	0.0124050658	-0.1169538899	0.0741239223	0.0446958541	-0.0445869203	-0.0250959819	-0.0219276379	0.0520773337	0.0388023905	-0.1117812816	-0.1046447388	0.1911161334	0.0736056264	-0.0660878332	-0.0139646541	-0.0691553645	0.0020516416	-0.0803685628	0.0109698398	0.0854795753	-0.1558213023	0.0739055428	-0.0066715116	0.0447466916	-0.0330530859	0.1778441456	-0.0882146923	0.0217166368	-0.0554634002	0.0237097052	-0.0425383	0.1766489837	-0.0177159903	0.0307370199	-0.0733894452	0.0060596482	-0.000864829	0.1015461075	-0.0812163472	0.0288782329	0.0117527155	0.1626547411	-0.058151107	0.0850478955	0.0483637861	-0.0358206398	-0.0940324495	0.0260346855	0.008873536	0.025625809	-0.0229264713	-0.1003796412	0.0152052735	0.0780363906	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0130785	n/a	0.00017104716225	n/a	-0.0897168	n/a	n/a	0.00804910420224	-0.0888252999999999	n/a	n/a	0.0078899339200899	-3.87591e-05	n/a	1.50226783281e-09	n/a	0.00071288	n/a	n/a	5.081978944e-07	0.000599947	n/a	3.59936402809e-07	n/a	-1.060163022	-0.929596988	0.002237286337	-2.373823869	-0.2568917699	-1.082047351	-0.05029159402	0.7193189148	-0.7417129838	-1.563861794	-2.007424005	-0.2924066155	-1.549643822	-0.9260336667	-1.84842339	-1.030258267	-0.7250360928
6131.444906586957	-9.832523863909955	96.67852553435876	37594616.64251114	9659.170644495654	20.62694219919285	425.4707444888429	93299577.5394866	5358.524112389198	-0.3039463604227421	0.0923833900142314	28713780.663056444	5752.700897647429	5992.225192503173	0.910745	25.11701	0.0758860949999999	0.0539295	-0.0550722378	0.0856663911	-0.1516229678	-0.0160204387	-0.000131925	-0.1274168963	0.0088953947	0.002453581	-0.109486472	0.0910947129	0.0027861893	0.1131027891	-0.0620837724	0.073137122	-0.1066048786	0.0810729542	-0.0838269693	0.0123345458	0.0238416904	9.65771e-05	-0.0659374073	-0.0121001154	0.1768137291	-0.1101366646	-0.0430569223	-0.0281757751	-0.0502175459	-0.1421190188	0.0129175982	-0.1560606865	-0.131581992	0.0223873377	0.0603717082	-0.0136310281	-0.0172794016	-0.1363653963	0.0162261401	-0.0817865098	-0.0490421382	0.0037894292	-0.0269788684	-0.123475242	-0.0996374349	-0.0682254296	-0.0150997502	-0.1613046698	0.1386857735	-0.0235532468	-0.0964906747	-0.0019391385	0.1189631124	0.0283177758	-0.0331279668	0.1507246938	-0.1031435181	-0.05122211	-0.0925181175	-0.0939061872	0.0261931942	-0.0054311038	-0.0908123231	0.1276865988	0.0838189494	-0.0039255359	-0.0123847302	0.055717213	-0.1170068218	-0.0243491107	0.0491233301	0.0761817191	0.1065833726	0.102009873	-0.1353220704	0.1586414113	0.11493769	-0.0625811314	0.0393559426	0.1144563979	-0.0620385623	-0.0833868779	-0.1379671625	0.0159404523	-0.0680805161	-0.1071211477	-0.0204284925	-0.0885606651	0.1291550168	-0.0234842879	0.0075785365	-0.054231852	0.0309379405	0.1632721897	0.0364454705	-0.1337351427	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0104831	0.0025953999999999	0.00010989538561	6.736101159999997e-06	-0.0962339	-0.0065170999999999	4.247259240999997e-05	0.00926096350921	-0.0381089	0.0507163999999999	0.0025721532289599	0.00145228825921	-0.000305542	-0.0002667829	9.335591376400001e-08	7.117311573241e-08	0.000765925	5.304499999999994e-05	2.813772024999993e-09	5.866411056249999e-07	0.000601263	1.3160000000000125e-06	3.61517195169e-07	1.7318560000000329e-12	-1.22242914	-1.389394495	1.511101898	-2.069197375	-0.2387531439	-0.5097834977	1.021507332	0.6427853596	-0.6905285745	-1.494013618	-1.08614735	0.2410132351	-1.153707741	-1.198968454	-1.809304913	-0.6585620454	0.6218739151
6170.016922062934	38.57201547597742	1487.800377879042	38069108.818542965	9669.100794688216	9.930150192561996	98.60788284683905	93491510.17784028	5378.658766859065	20.13465446986629	405.4043106209066	28929970.130309872	5771.936670939575	6096.431738711666	1.084329	29.904203	0.0431763	0.030881	-0.0016278784	0.0610248249	0.0848791706	-0.044900873	0.046559638	-0.0297727541	0.116098142	-0.1058417117	-0.0385755139	-0.0068102593	0.0216520695	0.1620609565	0.0519817642	-0.0200838342	-0.0681729452	0.0167102278	-0.0504541392	0.06899727	0.0294795694	0.0249387658	0.0903640875	-0.0873516534	-0.0437864492	-0.0172000233	-0.0002791214	0.0248912267	-0.0498599093	0.0864651398	-0.1641859722	-0.1538907423	0.0582224953	0.1454311221	-0.105786865	-0.0106465953	-0.0360088987	-0.1234668385	0.0469974253	0.034873811	0.0073534848	-0.0064351696	0.1365000215	-0.0228416784	0.0648804691	0.0592506617	0.0510687685	-0.0270371169	0.1240457503	0.0307383979	-0.0220305025	0.0459844242	-0.0218210267	-0.0131372209	0.0455448287	-0.0783445212	-0.0967313469	-0.0098278635	-0.0370499233	-0.0210105615	0.0426066117	0.0792607737	0.0589570394	0.0447530177	-0.097250497	0.0638766177	0.0573826914	-0.0116461171	-0.0150236291	-0.0367398345	-0.0233855298	-0.1506812524	0.052194106	0.1472668283	0.1466699441	0.1418007187	0.0140556451	-0.0275749998	0.1063931703	0.0497434819	0.0501678593	0.0962615791	-0.0228625971	0.0298570821	0.0008551113	-0.0594203216	-0.0878652376	0.099275276	0.0783807213	-0.0710871846	0.0358257594	0.0648541056	-0.0004854356	0.0779652002	-0.1684749539	0.1086679685	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0128927	-0.0024095999999999	0.00016622171329	5.806172159999998e-06	-0.0924368	0.0037970999999999	1.4417968409999983e-05	0.00854456199424	-0.0682244	-0.0301155	0.00090694334025	0.00465456875536	-0.000305542	0.0	9.335591376400001e-08	0.0	0.0008311549999999	6.522999999990003e-05	4.254952899986958e-09	6.908186340248338e-07	0.000673115	7.185199999999996e-05	4.53083803225e-07	5.1627099039999954e-09	-0.8529456907	-0.2896910338	0.9692226089	-1.182156291	0.3146092395	-1.44747445	-0.2323929929	0.178994025	0.2636037667	-1.947840136	-0.8984399404	-0.4205389405	0.5296659523	-0.05930959797	-0.6626277508	-1.588980553	-0.7294678861
6151.385572601337	-18.631349461596983	347.12718276015016	37839544.46280788	9640.99461632676	-28.10617836145684	789.9572620860248	92948777.19204156	5378.658912148912	0.0001452898477509	2.110913985950104e-08	28929971.69323892	5772.698717519529	6085.426205000664	1.015129	27.995764	0.1127333	0.0596755	-0.0076563848	0.0968270204	0.1021130996	-0.0782529527	0.132277615	-0.0235504888	0.117250941	-0.0461840605	0.0953113034	-0.0782338199	-0.0140797512	-0.1293376531	0.0162875137	-0.1122160705	-0.0648987794	0.0679602932	0.1402668436	-0.1071660896	0.0645287558	-0.1180561555	0.0481337029	-0.070041383	-0.0731345497	0.0784936602	0.0991683498	0.1140739968	-0.007252655	-0.0924482059	0.0069275153	-0.1203785202	0.0217407857	0.0085029137	0.0711689125	0.1716552435	0.0107675312	-0.0924727669	0.0658450029	-0.0407359468	0.133742941	-0.0229239851	0.1468746272	-0.0369871747	0.0340954823	0.0578799147	0.0279444969	0.0434919271	0.0522398863	-0.0443188787	0.103644248	-0.1681626694	0.0360695872	0.0561040669	-0.0284327484	0.0430865712	0.1023615525	-0.0401130276	0.1671472057	-0.107072788	0.003618575	0.0316735916	0.0157052495	-0.1511918561	-0.0363346323	-0.0594191739	0.0054640402	0.0190143018	0.1095625183	-0.0926852057	0.063362173	0.0858157655	0.0689916274	0.122637654	0.0481196613	0.105736508	-0.1278387491	-0.073698978	0.0791787748	0.0715840386	0.0596172436	-0.0271370358	-0.0824005743	0.1943468948	0.0367230958	0.0585745047	-0.1191594605	0.0121637512	0.0506270443	0.0132149878	-0.0457404117	-0.0114425238	-0.0541024019	-0.1940324436	0.0140049025	0.105976207	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0169483	-0.0040555999999999	0.00028724487289	1.6447891359999995e-05	-0.0402058	0.052231	0.002728077361	0.00161650635364	-0.0536985	0.0145259	0.00021100177081	0.00288352890225	0.000149717	0.000455259	2.2415180089e-08	2.0726075708100002e-07	0.000556925	-0.0002742299999999	7.520209289994518e-08	3.10165455625e-07	0.000564188	-0.0001089269999999	3.18308099344e-07	1.1865091328999996e-08	0.2774901055	-0.7500037794	-0.1083352731	-2.02813173	1.009788618	-2.0132199	0.2787944571	0.6394405685	0.5952381072	0.1566931494	-2.704055905	-0.5959914761	-0.7640339239	0.8400631992	-0.4544422059	-1.546294112	-0.1502094843
6139.315761246706	-12.069811354631383	145.68034613638866	37691198.01629221	9688.72857995948	47.73396363271968	2278.531284089805	93871461.49612364	5377.078788200298	-1.5801239486145278	2.4967916929851666	28912976.294513583	5776.817596259702	6046.144911753276	1.043406	28.775602	0.15164861	0.0886474	-0.0757059043	0.0336206231	0.0473729018	-0.0217315063	0.1004586082	-0.0192895758	-0.1124071771	-0.0129391347	-0.1297827052	-0.072727748	-0.0912146315	-0.0979686788	-0.1415672801	-0.0260728591	-0.0812201442	0.0369585004	-0.1398040913	-0.0364452049	-0.0251168164	0.0987533988	-0.0276878409	-0.1615696374	-0.1654532139	0.0288059904	0.003840241	0.0620927129	0.1272588123	0.1536685278	0.0912619177	0.0889681241	0.0013251221	0.0245654403	-0.1466774543	0.0729511657	0.0666671572	-0.1076339316	0.0692408515	0.0521349302	0.1677349169	-0.0759193821	-0.1111072891	0.0611930446	0.0180224573	0.1262264513	-0.1272876516	-0.0010454081	0.1555805334	0.0423825262	0.0020263048	0.1854802832	0.1088074805	0.0316052719	0.0023563017	-0.0204192838	0.0024702156	-0.0306062882	-0.1041984791	-0.040298924	-0.050462877	0.0841307116	0.2600429965	-0.0383389136	0.0335389363	0.0519284785	-0.1149970144	-0.063932901	0.115395499	0.1617806219	-0.0181941803	0.0536984141	-0.0942338296	-0.0175848382	0.0651083471	0.079442243	-0.0432558776	0.0411815265	-0.0578995557	0.0519864262	0.0207421886	0.0099207207	-0.1552453202	-0.0289370083	0.135547613	-0.0774451618	0.1695582266	0.0395207294	0.0741013258	-0.0756958382	0.1170159765	0.1185775918	0.0498235248	-0.0115869259	-0.1189954609	-0.0493514446	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0181858	-0.0012374999999999	0.0003307233216399	1.5314062499999975e-06	-0.0954047	-0.0551988999999999	0.0030469185612099	0.00910205678209	0.00808676	0.06178526	0.0038174183532676	6.53956872976e-05	0.000159652	9.935000000000006e-06	2.5488761104000003e-08	9.870422500000011e-11	0.00120421	0.000647285	4.189778712250001e-07	1.4501217241000002e-06	0.000575507	1.1318999999999978e-05	3.31208307049e-07	1.2811976099999949e-10	-1.063451751	-1.175267786	1.417345135	-0.6321826134	-0.7167465584	-1.019736407	0.5648514695	-0.5548189774	1.577074027	-1.756641681	0.3285062284	-1.15658414	-0.2092547079	1.25852999	-1.136867483	-1.764133916	1.119855302
6143.095771421187	3.780010174481504	14.288476919183688	37737625.65685287	9611.022833207458	-77.70574675202079	6038.183078289189	92371759.90043512	5374.855950397451	-2.2228378028466977	4.941007897764335	28889076.48752289	5769.7704401087085	5917.179156419262	1.120394	30.898825	0.14961528	0.0703909	-0.0772076938	-0.1838334291	0.0184519959	0.140675832	0.0517449246	0.0809343806	0.0982216083	0.0850525198	-0.0547240983	0.0039031476	-0.0350648777	-0.1622291307	0.0998317172	0.00359023	0.0684497037	0.0650260437	0.100017097	-0.0213546204	-0.0636112355	-0.0663627869	0.0477461156	0.1125200796	-0.0779787721	-0.1392523073	0.0598286116	0.0525699976	0.1379802594	0.0640872926	0.1243319998	0.0051560293	-0.0920294339	0.0185727648	0.0610398819	-0.0245570723	0.0196122593	0.1121577382	0.0021968847	-0.0083153014	0.0492653773	0.0843927754	0.1074424166	-0.0478235956	0.0427326895	0.0435903184	0.1032010916	0.1272893322	0.1219549753	0.0925516437	-0.0484112653	0.1036739204	-0.0357674498	0.0156415871	0.0385867838	-0.139680724	-0.1471289268	-0.0909551992	0.0999090753	0.0955418757	-0.0358267626	-0.0307062394	-0.0431372595	-0.0970470218	-0.0533612028	0.0826926984	-0.1700670271	0.078018613	0.0195087	0.116118934	-0.0714881582	0.1128630377	0.0262531473	0.0284100167	0.0922623093	-0.064832696	0.0653560813	-0.1028693717	-0.0454502846	0.038799429	-0.1085718403	-0.0765976042	0.0795883208	-0.0501776479	0.0390690614	-0.0129063579	-0.1001026274	0.2352082154	-0.0134279942	-0.0080885378	0.0768520038	0.1046867409	0.0627172938	0.0523273227	-0.1418243218	0.0565918419	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.00842243	0.0097633699999999	7.09373271049e-05	9.532339375689998e-05	-0.0536176	0.0417870999999999	0.0017461617264099	0.00287484702976	-0.0339337	-0.0420204599999999	0.0017657190586115	0.0011514959956899	-0.000305542	-0.000465194	9.335591376400001e-08	2.1640545763600006e-07	0.000608404	-0.000595806	3.549847896360001e-07	3.70155427216e-07	0.000635394	5.9887e-05	4.0372553523599993e-07	3.5864527690000006e-09	-0.7596240701	-0.461689825	0.1971982646	-1.715326565	0.05762017431	-0.3779693276	-0.475015768	-0.0921663624	0.02040808619	-0.3066926775	-2.041616223	-2.511680292	-2.479652957	0.2438225262	-0.7127216524	-0.9177990578	-1.116012088
6128.787058638111	-14.308712783075862	204.73926150855857	37562030.81012999	9664.987909419591	53.96507621213277	2912.2294505812984	93411991.28922687	5367.564773133598	-7.2911772638535695	53.161265892935226	28810751.593784727	5765.562169817008	5926.510039403685	1.00764	27.789221	0.12007372	0.0851921	-0.1206039117	-0.1228415488	-0.0055761056	0.1721311865	-0.0649208682	0.0184782667	-0.0849880041	-0.0840589053	0.0850732414	-0.0673790925	0.0636648692	-0.011276302	-0.0389877749	0.0944701467	0.0626332932	0.0667413314	-0.0605856414	-0.0218045481	-0.0493542215	0.0187881421	-0.0915007838	0.0250240173	-0.0088970905	-0.12241169	0.0214765913	-0.1072390431	-0.0221828966	-0.0009483921	0.1702922705	0.0517263586	-0.0347202066	0.1002908707	-0.0131567923	0.0803886771	-0.1234722087	0.0150873342	0.0193566401	0.0658472615	-0.0004910049	0.1705439767	-0.0056478827	0.0746221706	-0.0177044994	-0.2513957653	-0.1815625138	4.80264e-05	-0.1944695541	0.1385985027	-0.0182734978	0.0032131322	-0.0359018241	-0.2128195466	0.0011730068	-0.092408821	0.0829332531	-0.0903443794	-0.0701787452	0.0675180929	-0.0448479898	-0.0615569345	0.0148694832	-0.0086240009	0.0936548409	0.0664869897	0.0229440026	0.0703367522	-0.14165139	-0.0203097444	0.0884850239	0.0816555001	-0.105430764	-0.0989186115	0.0721991779	-0.1238286636	0.0430605417	-0.0204741664	0.0110491113	-0.0200765071	0.0071114865	0.030306502	0.1512711973	-0.1469147935	0.2037059967	-0.1988767853	-0.1539628244	-0.1515293872	-0.1559676135	-0.0403214964	0.0882626883	-0.0786150939	0.0907989859	0.0110719845	0.1199362468	-0.0714694673	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.010063	-0.00164057	0.000101263969	2.691469924900003e-06	-0.0712624	-0.0176448	0.00031133896704	0.00507832965376	0.0485681	0.0825018	0.00680654700324	0.00235886033761	-0.000305542	0.0	9.335591376400001e-08	0.0	0.0008311549999999	0.0002227509999999	4.9618008000955464e-08	6.908186340248338e-07	0.0007783739999999	0.0001429799999999	6.058660838758443e-07	2.0443280399971422e-08	-1.075659352	-1.266774494	1.482019494	-1.245224811	-0.3988260165	-0.8924993833	0.5851767014	-0.3494855953	-0.2395297219	-0.7374177023	-0.6783023134	-1.698575089	-1.076741291	-0.7601253518	0.4602306949	-1.842866638	1.438658084
6157.749228018462	28.96216938035104	838.8072552161435	37917875.55516197	9656.016701276774	-8.971208142816977	80.48257554174563	93238658.535336	5374.867428295383	7.302655161785879	53.328772411957935	28889199.87175063	5769.795363260321	6001.685984584683	1.130357	31.173584	0.10470062	0.0740756999999999	-0.036356974	0.0528858386	-0.0429359965	0.0624183731	-0.0601901142	-0.0540774858	0.0944941897	0.0318504413	0.2105101672	0.0842807267	0.0330987555	0.1349408687	-0.0491928359	0.0455065707	0.0245343078	0.014325326	0.0228535585	0.0419528482	0.0634359298	-0.0481933766	0.1241815085	0.0567896619	0.1399094808	-0.0680144555	0.0773202127	-0.0714517043	0.0314853139	0.0330143978	-0.036586522	-0.0659645593	0.0368410548	-0.0752415244	-0.0613888878	-0.0078723125	-0.0270747413	0.0445669478	0.1769887681	0.0673874445	-0.129890649	0.0506350279	-0.1461328575	0.0342390823	0.1486669079	-0.0434080531	0.0261526749	-0.0504106229	0.0133038542	0.0576105686	0.0737969415	0.101305093	-0.1539174109	-0.1006694666	0.0226093508	0.0731169386	0.0372298811	-0.0296067981	0.0143214718	-0.0056119929	0.0207369912	0.0156127205	-0.2030130354	0.0830462703	-0.1146716748	0.064118392	0.1312748604	0.1051751499	0.0231780002	-0.0293652073	-0.002713617	-0.0306619253	-0.1315638417	0.0540038145	0.0064166883	-0.1109553994	-0.0514615748	-0.0006455981	0.0369051275	-0.004032715	-0.1430153124	0.115459795	0.0436909254	0.057769705	0.0253333568	0.0869944503	0.0429166603	0.0013748404	-0.005810498	-0.1548377692	0.1085921464	-0.0539228942	-0.1330926508	-0.0272211049	0.0217128792	-0.1112211152	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.00495078	0.00511222	2.45102226084e-05	2.6134793328400007e-05	-0.0578237	0.0134387	0.00018059865769	0.00334358028169	-0.0234778	-0.0720459	0.00519061170681	0.00055120709284	-0.000305542	0.0	9.335591376400001e-08	0.0	0.000618356	-0.0002127989999999	4.528341440095744e-08	3.8236414273600004e-07	0.000709097	-6.92769999999e-05	5.02818555409e-07	4.799302728986145e-09	-1.056816969	-0.3381376192	0.310110926	-1.478972824	0.2392166116	-1.336128295	-0.7172848297	-0.7359237558	-0.7093952637	-1.210627422	-0.8595137997	-0.5160456344	-0.8206344274	-1.461757816	-1.243263615	-0.6942075314	-1.51219334
6152.658080807723	-5.091147210739109	25.91977992141661	37855201.45932858	9679.42102919914	23.404327922366065	547.7625654976439	93691191.46050256	5379.646592530437	4.7791642350539405	22.840410785618715	28940597.460524347	5772.625066905863	6020.427953212361	1.074891	29.643919	0.12279296	0.069759	-0.0431359487	0.1153230179	0.042110417	-0.0375401053	0.0699974574	-0.0879249775	0.0059562894	-0.1048473704	-0.0166457252	-0.0047140027	-0.0378110149	0.0417846888	0.1372187561	0.0895817456	-0.0462885761	0.0177695261	0.0062137934	-0.0063693758	0.0508817719	-0.011236409	-0.1395879991	-0.0168890631	-0.0759930896	0.2149922013	-0.0459739143	0.0319092286	-0.0913544412	-0.0592025897	0.0532283194	0.035152578	0.0838442589	-0.1594670085	-0.0173896615	-0.0533168889	-0.0454868755	-0.0395758474	-0.1788876791	0.0939686295	-0.0304990554	-0.0220209642	0.0493960105	0.0738575419	0.1195063769	0.0231139346	-0.0327378888	0.1501459496	0.1129175523	-0.142131702	-0.1756319154	0.0679007327	-0.0002668536	-0.1403335703	-0.0744123435	0.2308290023	-0.0345353394	-0.0080247707	-0.0082399843	-0.0675181894	0.0649592151	-0.0244564585	0.0495100292	-0.0525045006	0.1122778171	-0.1611744449	0.0165041978	-0.1350821244	-0.0470120583	-0.0994096154	-0.1305442755	0.0204172971	0.0097719585	-0.0074279307	-0.0709487959	-0.1065425966	-0.0733215238	-0.0739498719	-0.012889715	-0.0634365564	0.1641426688	0.1034387049	0.0559391051	-0.1345977519	-0.0197341336	0.1337630279	0.0478723742	0.1509546647	0.0964351818	0.0774611467	0.1908997913	-0.0239429238	-0.0466020674	-0.0083985417	0.0558439785	-0.1597537041	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.00841914	-0.00346836	7.08819183396e-05	1.2029521089600002e-05	-0.0603409	-0.0025172	6.336295840000021e-06	0.00364102421281	0.0398295	0.0633073	0.0040078142332899	0.0015863890702499	0.000252669	0.000558211	6.384162356100001e-08	3.115995205210001e-07	0.000904585	0.0002862289999999	8.192704044099996e-08	8.18274022225e-07	0.000483535	-0.000225562	2.33806096225e-07	5.0878215844e-08	-0.596088681	-1.005542934	1.226513004	-1.576885411	0.842495422	-1.451881789	1.034577711	-0.04184822462	-0.5445233104	-0.3854353743	-1.73229935	-0.2992830047	-0.1991956867	0.1259765522	-0.9760136998	-0.4244494258	1.257024591
6183.122833376788	30.46475256906433	928.1011490943116	38231007.9726254	9706.895468383334	27.474439184194125	754.8448084859815	94223819.63412093	5383.866778293217	4.220185762779693	17.809967872368414	28986021.486409385	5780.992571381369	6144.527400215507	1.175208	32.410526	0.04156411	0.0220077	-0.0112318733	-0.1301535557	-0.0638539449	0.0531822704	-0.0057710742	0.0937977488	-0.0631112017	-0.0321719433	-0.0230455508	0.0419476583	0.1062728066	-0.0143609241	-0.1641269591	0.0730599965	-0.0406224738	-0.0365539384	-0.1043469893	0.056698437	-0.114673221	0.1072618257	0.022131985	-0.0332503138	0.0035392994	-0.0434137662	-0.0108264245	0.1306170282	-0.059817394	0.1041143762	0.0744843272	-0.0368691539	-0.0388856761	0.0144104875	-0.1103825114	-0.0309429068	-0.0272763589	-0.0191453205	0.0029339417	0.0499763186	-0.2088657784	0.0721939431	0.0283533258	-0.0094451728	0.0753929386	-0.04414194	0.0817944525	-0.0216488784	-0.0610705129	-0.0384443508	-0.0334871767	-0.0277450715	-0.0637557607	0.0567384194	-0.050041404	-0.0100863913	-0.0104801094	0.0143130845	-0.0993465874	0.081587232	-0.0570562082	0.050280686	0.0895002739	0.1059623505	-0.0105381461	0.0269909687	-0.0717757644	-0.0557213941	-0.0360086467	-0.0283879393	0.1300614297	0.0181143024	-0.1174601507	0.0990853645	0.117053179	0.028888272	0.0611628739	-0.0432712618	0.0431460175	0.0274680106	-0.0168543224	0.1159521157	0.1053929948	-0.0446239535	-0.0603926844	0.102315262	-0.0098857823	0.0133096609	-0.1218959485	-0.0253034278	0.0218488388	-0.0476569811	-0.0195654652	0.0503763639	0.0182430758	-0.1134091006	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0154855	-0.0070663599999999	0.0002398007102499	4.993344364959999e-05	-0.0666379	-0.0062969999999999	3.965220899999997e-05	0.00444060971641	0.0364049	-0.0034246	1.172788516e-05	0.0013253167440099	-0.000125691	-0.00037836	1.5798227481000004e-08	1.431562896e-07	0.0008901669999999	-1.4418000000099946e-05	2.0787872400288202e-10	7.92397287888822e-07	0.00038079	-0.000102745	1.450010241e-07	1.0556535025000001e-08	-0.5266588768	-0.4445752128	1.238898541	-0.4395149416	1.151584395	-0.5866199566	-0.8534081749	-0.9803396229	-0.3608529286	-1.957033187	0.466767126	-1.32662665	-0.5707739102	-1.576661934	0.2755651047	0.3616193136	0.1727128907
