global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	aroma_motion_02	aroma_motion_03	aroma_motion_04	aroma_motion_05	aroma_motion_07	aroma_motion_09	aroma_motion_10	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_19	aroma_motion_22	aroma_motion_23	aroma_motion_24
5446.045542285604	n/a	29659412.048648898	n/a	6933.063905240538	n/a	n/a	48067375.114149176	4936.756910763178	n/a	24371568.795968	n/a	4944.081374646923	5493.018441864071	n/a	n/a	n/a	n/a	0.1190435682	-0.0847123822	0.1334285348	-0.1018650662	0.1041586328	-0.0152656604	-0.042555886	0.0813192487	-0.2118248234	0.023333474	-0.0652164356	-0.1686429512	0.077528424	-0.0119170146	0.0411402574	-0.0361700587	0.0632765719	-0.0347753899	-0.0973193931	0.0224316729	-0.128019011	0.022546104	-0.0179053844	0.0849759706	-0.018100379	0.0426534915	0.0290993727	-0.0878151477	0.0679653014	-0.1149029089	0.0611975903	-0.0164418632	0.1690781335	-0.0551091195	0.0363762262	-0.1244971907	0.1292511584	-0.0429253604	0.0080752351	0.0996872135	-0.0217102076	0.124642126	0.0637365173	-0.2822588305	0.2657038872	0.0658635126	-0.0021588414	-0.0340859793	-0.0178109648	-0.0115586407	-0.197982932	0.0585931288	-0.0362466251	0.041058418	-0.0561038916	0.0504978726	0.1065336541	-0.004020945	0.1197293338	-0.0285146552	0.0111988187	-0.1297815107	0.0130818297	-0.0347411651	-0.1213068137	0.0624976381	-0.0717232671	0.1176664087	-0.0165384454	0.1895766491	-0.0660778937	0.0209408579	-0.0333925125	0.0656008705	-0.1325353487	0.106060789	-0.0620094113	0.1295713162	-0.0048384166	-0.0179167143	-0.1126883278	0.1336842787	0.1648107738	-0.2588168745	0.1094434004	0.0155930116	0.0096142352	0.023823721	-0.2208451138	0.129784833	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0868826999999999	n/a	n/a	0.0075486035592899	-0.0725716	n/a	0.00526663712656	n/a	-0.0740394	n/a	n/a	0.00548183275236	-0.00308489	n/a	9.5165463121e-06	n/a	0.000222467	n/a	4.9491566089000006e-08	n/a	0.00278603	n/a	n/a	7.7619631609e-06	1.831273669	1.678597452	-1.298318593	0.4916456221	-1.330911271	-1.422403622	-1.164324951	-1.80190486	-1.503280024	-0.344506355	-2.161719385	-1.165442833	-0.7834728905	-1.394285788	-0.3554140452	-1.095350085	-1.014764488
5445.695578303128	-0.349963982475856	29655600.33155024	0.1224747890303612	7013.822050784356	80.7581455438185	6521.878071676572	49193699.76006887	4925.380598818265	-11.37631194491314	24259374.043215368	129.4204734679734	4933.355544090984	5535.841203530875	1.205823	39.659679	0.09901168	0.0566195	-0.1449513611	0.020738563	0.1913271508	0.1446434101	0.0482336847	0.007330348	-0.1586801077	-0.1476492588	-0.1360373676	-0.1263436717	-0.0347948607	0.1167702078	0.0761273629	0.1019511	0.1598972542	0.103669654	0.0613224718	0.0190295036	-0.2168877879	0.0741322097	-0.0369340025	-0.0808505924	-0.1117715207	-0.0425546787	-0.0766035849	0.0183365882	0.116205414	0.06001804	0.0667365247	0.0632696171	0.0977979594	-0.1118583648	0.0152288863	0.0825999884	-0.133328983	0.0722589963	0.0884050478	-0.0003366941	0.0585156038	0.0360464631	0.0831757081	0.0437422872	-0.0952362944	0.0175221082	0.1386969888	0.1191242936	-0.056666975	0.0367907733	0.0370238184	-0.0725776756	0.0407653594	0.0614513891	-0.1600371599	-0.0939501271	-0.0712758377	-0.0086067371	0.2238074012	0.0505050289	0.0541989183	-0.0888252625	-0.0802508417	0.0142365104	-0.1216413716	-0.0646491112	0.0854796302	0.0693806144	-0.0503418967	-0.0800976738	0.045102153	-0.0291425581	-0.1380778531	0.1551023505	0.0730280916	0.0107119295	-0.0076463763	0.0707472684	-0.0688759486	0.0254645224	-0.0159373127	-0.0672891142	-0.0895642061	-0.0611294669	0.2036287578	-0.0418349328	-0.0606980526	0.0588004547	-0.0915504408	-0.0779897904	0.0198262231	0.044913483	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0867543	-0.0001283999999998	1.648655999997168e-08	0.00752630856849	-0.0557197	0.0168519	0.0031046849680899	0.00028398653361	-0.0542808	0.0197586	0.00039040227396	0.0029464052486399	-0.00387492	-0.00079003	1.50150050064e-05	6.241474009000002e-07	7.579139999999998e-05	-0.0001466756	5.744336313959997e-09	2.151373163536001e-08	0.00309478	0.00030875	9.53265625e-08	9.5776632484e-06	1.836596633	1.567410571	-1.808700678	0.09557239958	-1.394675176	0.25418057	-1.281871749	-1.773570509	-1.067289607	1.883900874	-1.443816791	-0.6863860633	-2.104373066	0.7883776387	-1.070942641	-1.300286754	-1.410509019
5441.618353008749	-4.077225294378877	29611210.29980165	16.62376610112292	6952.627937876834	-61.19411290752214	3744.719454538568	48339035.24254548	4933.555061490356	8.174462672091067	24339965.54475711	66.82183997741024	4940.750037438323	5524.266578979563	1.259563	41.427212	0.1224488299999999	0.0747238999999999	-0.0137821971	0.1817402669	0.1593226401	-0.0410889608	-0.132553397	0.1319504099	0.1274313658	-0.1997678306	-0.182709313	0.0730134072	-0.0743779758	0.0810543747	-0.0612001116	-0.0635388607	-0.0646371978	0.1417014194	-0.0992483514	-0.0156643226	-0.1198550467	-0.0914831679	0.0711532086	-0.0745017501	0.1199986392	0.075917596	0.0352146145	0.0356067547	0.1492367218	0.0409230217	0.0465192753	-0.144999478	0.0195160403	0.0064659803	0.0305933077	-0.1176701765	-0.0830844442	-0.0895948504	-0.0058644858	0.0229700867	-0.0899602227	-0.0866773925	0.2405696646	-0.0406366832	0.1403603966	0.1385544975	-0.1282848065	0.1151288068	0.0534849511	-0.2286019726	-0.012611768	0.1495934744	0.1210376458	0.085816125	0.0590283425	-0.1517979762	0.0927031204	-0.0052961579	0.1212216474	-0.0494249918	-0.1341052518	-0.048041143	0.1071161699	-0.0289846657	0.0655526787	-0.028194884	0.1164489249	0.1401103612	-0.0773391996	0.1001698448	0.021862903	0.00832389	-0.0225679295	-0.0526049988	0.0899890785	0.0570389188	-0.15399842	-0.1809122948	0.1355359303	-0.1624575876	-0.1716732489	-0.1038529936	0.1486032625	0.1553693821	0.0439372218	0.1836407034	-0.0294837545	-0.1505897768	0.1747110021	0.0343492233	0.0483434673	-0.0191488071	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.104109	0.0173546999999999	0.0003011856120899	0.0108386838809999	-0.04959	0.0061296999999999	0.0024591681	3.7573222089999936e-05	-0.1156	-0.0613192	0.0037600442886399	0.01336336	-0.00347772	0.0003971999999999	1.20945363984e-05	1.577678399999999e-07	0.000226556	0.0001507646	5.1327621136e-08	2.272996461316e-08	0.00329972	0.0002049399999999	4.200040359999992e-08	1.08881520784e-05	2.162778731	2.185409059	-1.591306215	0.4244395783	-0.8524162054	1.202909194	-1.621250331	-1.761730652	-0.4133708646	-0.1180854151	-1.099537117	-2.45586966	-2.136873485	-0.9821203896	-0.5737400538	-0.009330697868	-1.912066004
5421.921740124362	-19.696612884386923	29397235.35603319	387.9565591173969	6977.301889132995	24.673951256160763	608.8038705913973	48682741.65209886	4924.153545629105	-9.401515861251028	24247288.140931685	88.38850048935466	4932.695294513322	5476.655674997482	1.21492	39.958874	0.2130791	0.11253	0.1496833937	0.0814541845	0.2227816998	0.0464491534	0.0217292123	0.0005385472	0.0389207676	-0.0143076548	-0.2732752843	-0.034359408	-0.0328412994	0.1434055023	0.244398179	0.2228767469	-0.1037983445	0.0068271627	-0.0996472941	0.0160359711	-0.1495692803	-0.0209216416	-0.0903859617	-0.2640963673	-0.0297641075	0.1843502956	0.0527340882	-0.3034518801	-0.1373801509	0.020050021	-0.0689688561	-0.0244644523	0.1099648354	0.3099212234	0.0224944624	0.0189523803	-0.0701049858	0.106903823	-0.1190224363	-0.0332355949	0.1387827954	0.1689379625	-0.065554825	-0.0718760273	-0.0844758362	-0.2042201393	-0.0003200674	-0.0163994	0.1219804106	0.0298212388	-0.0640177775	0.0264080285	0.0493708971	-0.0613498103	0.1087728829	-0.0100608027	0.0999562518	-0.0061176185	0.167273646	0.012073801	0.0117447352	-0.3107184253	-0.0167673166	-0.1322808928	0.0328667289	0.3023566034	-0.0316523192	-0.1470042433	0.0872725899	0.1123308337	0.1869304268	0.1053885781	0.2345889553	0.1269180364	0.0918727697	-0.0182021228	0.2029235595	0.129985486	-0.1170031586	0.0880215384	-0.096583596	0.0851481234	-0.1370967008	-0.0065669273	-0.0077413961	-0.026437062	0.1199375899	-0.0975673057	0.0191965422	0.0436236465	0.0695813145	-0.0488006393	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0769409999999999	-0.027168	0.000738100224	0.0059199174809999	-0.0593224	-0.0097323999999999	0.00351914714176	9.471960975999992e-05	-0.0959766	0.0196234	0.0003850778275599	0.0092115077475599	-0.00190106	0.00157666	3.6140291236e-06	2.485856755600001e-06	-0.00010558	-0.000332136	1.1147136400000001e-08	1.1031432249600003e-07	0.00207741	-0.0012223099999999	1.4940417360999997e-06	4.3156323081e-06	1.855005086	0.8802254385	-1.644218149	0.9558449125	-2.276986686	0.06710190088	-1.53789355	-0.5885309316	-1.268932407	-2.149479159	-2.541276779	-0.5634645505	-0.01760895729	-0.2027667951	-1.843460632	-1.395145983	-1.35932946
5431.595345441461	9.673605317098918	29502227.996621344	93.57863983100444	7018.888853078852	41.58696394585695	1729.475570234006	49264800.73187456	4928.607585349795	4.454039720690162	24291172.730367538	19.838469833485693	4938.435424194825	5498.557974091335	1.076292	35.399403	0.2701215	0.157833	0.1266520724	0.0085749578	0.1986056934	0.0982866256	-0.0514139532	-0.1677829007	0.0138106023	0.0423143988	-0.1786805071	-0.1445912383	0.1398236628	0.0355753334	-0.1312066246	0.0875046852	-0.1041327859	-0.1057574222	-0.0617674757	-0.0315002002	-0.2011903036	-0.0304047819	0.0725069828	0.1079765777	-0.0557332021	0.149560491	0.0032023777	-0.1257386428	-0.2275966277	0.023103687	-0.1629169286	0.074807732	-0.0426618358	-0.0735737831	-0.0779680441	0.0271324635	0.2065317336	0.1652836344	0.0500458703	-0.0911812681	0.0608929229	-0.1277067306	0.0002309485	0.2573441225	0.0185228072	0.1859567462	-0.1507527083	-0.0032602632	-0.0259025491	0.1543245516	-0.0299395443	-0.0380994	0.156123531	0.0414547766	0.1014815185	0.1014676956	0.0648197327	0.0179817894	0.208770915	-0.0305491767	-0.0502705442	0.120132363	-0.0444298049	-0.1476608967	-0.0028003479	0.1379463667	-0.0160937284	-0.2122660418	0.156240413	-0.0854582649	0.0141509973	-0.1055619462	-0.0672761155	-0.0715773332	-0.1207046415	-0.2625252945	0.0003968521	0.1013549028	0.0056727325	-0.1145701668	0.1869433514	-0.217846243	0.1208087642	-0.0219558539	-0.025768618	0.1339735244	-0.0987437239	0.0498894637	-0.0973172658	0.0286325827	0.1720847164	0.0300832245	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0763277	-0.0006132999999999	3.7613688999987737e-07	0.00582591778729	-0.117992	-0.0586696	0.013922112064	0.00344212196416	0.0278452	0.1238218	0.0153318381552399	0.00077535516304	-0.00265155	-0.0007504899999999	7.0307174025e-06	5.632352400999999e-07	0.000638976	0.000744556	4.08290328576e-07	5.543636371359999e-07	0.0023227	0.00024529	6.01671841e-08	5.39493529e-06	1.264738102	1.333671072	-1.607386407	1.263281303	-1.436766554	-1.062745703	-1.835606505	-0.7961302699	-2.418812257	-1.28490366	-3.422980753	0.01742399845	-1.418233722	-0.02550480713	-2.124760548	-0.2988400921	-1.154767353
5451.836528503078	20.24118306161654	29722521.53352049	409.7054917338723	6949.813963582883	-69.07488949596882	4771.340358880303	48299914.12841162	4934.902078081308	6.294492731512946	24353258.52025121	39.62063874706931	4943.4341626310725	5425.253507121047	1.06494	35.026035	0.15046757	0.0773712	0.0927554679	-0.1179138576	0.1555374366	-0.071687994	-0.0319987821	0.0048103625	-0.0064654682	0.1311691725	-0.1274206842	-0.0285193858	-0.0236174026	-0.0221066141	-0.107084234	-0.181649363	-0.0551877203	-0.1593734223	0.06471683	-0.0348449096	-0.1069971274	-0.0904625757	-0.0861814047	0.188807128	0.0307163834	-0.1154536887	-0.0480145331	-0.04718396	-0.0550609583	0.0424904678	0.0571063281	-0.1144221057	0.0709002551	0.0957413694	0.0279009457	-0.0580154999	0.0117125724	-0.0991676627	-0.0193862826	-0.0615929068	-0.0510620505	0.0293711243	-1.77292e-05	-0.0273162081	-0.0439346266	-0.0197782539	-0.0266462014	0.0230776695	0.0786359823	-0.1212450827	0.0037900082	-0.0886590955	-0.0260434251	0.1908095747	0.0513668244	0.1549654522	-0.0554794865	0.0288735397	0.0934735242	-0.1652566169	0.0798530208	0.1842151735	0.0552835327	0.0646869655	-0.0647620078	0.0162908319	-0.0391162177	-0.0282840072	-0.0890361834	0.1433834657	0.0695555762	0.0525145609	0.0700189017	-0.0678323636	-0.0012798474	0.0679727872	-0.0079107589	0.0174111803	0.0829326269	-0.00901128	-0.0387306811	0.0070750319	0.0086789636	-0.0218252939	-0.0483363977	0.0990922584	0.0374274614	-0.0776211841	0.0754707002	-0.1429695976	-0.0743988559	0.1217000381	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0476017	-0.028726	0.000825183076	0.0022659218428899	-0.0675703	0.0504217	0.0045657454420899	0.00254234783089	0.0008869299999999	-0.0269582700000001	0.0007267483213929	7.866448248998227e-07	-0.00265217	-6.200000000002211e-07	7.0340057089e-06	3.844000000002741e-13	0.000886108	0.000247132	7.85187387664e-07	6.107422542400004e-08	0.00168322	-0.00063948	4.089346704e-07	2.8332295684e-06	1.277755843	1.841977592	-1.629661771	0.3749126938	-1.784540137	-1.506155747	-1.728174556	-2.450632534	-2.458485564	0.2042359944	-0.5986170534	-1.543208488	-0.2259816103	-0.1181605698	-0.96380246	-1.403618544	-0.4071419745
5475.444324226987	23.60779572390948	29980490.54770953	557.3280189418385	7008.656968630564	58.84300504768089	3462.4992430413986	49121272.503933765	4939.0098828509945	4.1078047696864814	24393818.622899797	16.874060025859006	4947.444002003873	5616.88096758696	1.097433	36.094738	0.10887553	0.0605629	-0.0901989102	-0.0944970943	0.091764465	0.0561508272	-0.1390250258	0.0726517006	-0.13319184	-0.014656032	-0.0181836311	-0.040158184	-0.1456349704	-0.0761956754	-0.0473087832	0.061390055	0.142806438	-0.0666723277	0.1245094073	0.0088165427	-0.0068116747	0.0027084452	0.0004195836	-0.0996142595	0.0201109683	0.0748994252	-0.1452811118	-0.0323489	0.1355977368	-0.2006645382	0.1736133072	-0.058597122	-0.0067418469	-0.0875433558	0.0105890317	-0.00698895	0.0008859603	0.0608546076	0.0992860767	-0.1458760952	0.2650500256	-0.1899822739	-0.1142065481	-0.102951749	-0.1062015006	-0.049589194	0.0455737786	-0.1263531129	-0.0974770418	0.0412267881	-0.0255926851	0.0802882292	0.1325338512	-0.0494901659	-0.1407692852	0.0774602821	-0.1235206638	0.0052922314	0.0088538218	0.0292967992	-0.0377536395	-0.1137737083	0.041869341	-0.1184938181	-0.1017708014	-0.0026629312	-0.104623352	0.1714154255	-0.14245902	0.0196883191	-0.0990910601	-0.0492183507	-0.085529577	0.0355168207	0.0555229485	-0.009166545	0.0073004722	0.186359555	-0.0878993267	-0.2776368694	0.1407982573	0.1160490509	-0.0914253643	-0.0783320438	-0.0276914947	-0.0989657779	0.0838935074	0.0665086278	0.0495195416	0.0657631034	0.1492626336	-0.0497421778	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0435427	-0.004059	1.6475481e-05	0.0018959667232899	-0.0851204	-0.0175501	0.0072454824961599	0.00030800601001	-0.040376	-0.0412629299999999	0.0017026293921848	0.001630221376	-0.002607	4.517000000000019e-05	6.796449e-06	2.0403289000000176e-09	0.000103658	-0.00078245	1.0744980964e-08	6.122280025000001e-07	0.00177567	9.245e-05	8.5470025e-09	3.1530039489e-06	1.589645655	1.970510797	-1.592782201	0.9243532897	-2.20236424	-0.520032256	-0.4058178834	-0.484560688	-0.2483609736	0.9597236924	-0.9937844028	-1.460611117	0.07168998893	0.2842881234	-0.1393471743	-1.049282277	-0.6401237904
5489.563230577518	14.11890635053078	30135304.462508675	199.34351653505837	7105.716255482	97.0592868514359	9420.505164109318	50491203.503421135	4949.430834081639	10.420951230644278	24496865.581358068	108.59622455146648	4958.277289516643	5693.371379490601	1.050623	34.555149	0.097844785	0.0583638	-0.1524359405	0.0294300545	-0.0156691131	0.0425459516	0.0096967951	-0.1188421851	-0.0653530691	-0.0782690289	0.0576408927	0.0002456966	0.1255717133	0.0478741771	-0.0038478149	0.0365686614	0.1343186981	0.0823697695	0.1050989171	-0.0570219507	0.0030383582	-0.0445904033	0.0031979662	0.0765300021	-0.021783244	-0.0654553346	0.02258994	0.2260395863	0.0550815469	0.0639170067	-0.1061519293	-0.1631813106	0.0481022883	-0.0304938092	-0.0926251615	0.1443194015	-0.0896299417	0.0170085216	0.1603565615	0.1212695142	-0.04100614	0.0892690923	0.0822225793	0.1148541636	0.0433008734	0.0808236419	0.0133483144	0.0561206402	-0.0639473908	0.0582568774	-0.006777427	0.031539489	-0.1220124734	-0.0520173949	-0.1340577202	-0.0743127721	-0.108470588	0.0580154655	-0.0074252887	-0.0591819018	-0.0034672381	0.0887779964	-0.0411816208	0.0774788416	0.0706904219	-0.2111688147	0.0499231983	0.0356662615	0.1122054097	0.1225543359	0.0707840659	-0.1382880991	-0.1204090871	0.1537677124	-0.0327776303	-0.0006151222	-0.1493296521	-0.0757682336	-0.0596222712	0.1019977107	-0.0609210826	-0.0994478089	0.048113713	-0.0438249413	0.0312201141	0.0092416146	-0.0971425661	0.0178050989	-0.0512047067	0.1332920858	-0.1074258282	0.0064587099	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0452032	0.0016605	2.7572602500000075e-06	0.00204332929024	-0.0675271	0.0175932999999999	0.00455990923441	0.0003095242048899	-0.0961745	-0.0557984999999999	0.0031134726022499	0.0092495344502499	-0.00275955	-0.00015255	7.6151162025e-06	2.32715025e-08	4.12183e-05	-6.243970000000001e-05	1.6989482548899999e-09	3.898716136090001e-09	0.00201653	0.0002408599999999	5.801353959999993e-08	4.066393240899999e-06	1.844428703	2.401518846	-1.208675085	0.791204576	-0.552707564	0.7113260281	-0.6255297333	-0.4000104829	-1.578405603	1.311999597	-1.209977994	-0.02568434183	-2.241365939	1.398932952	-1.430194711	-1.588476287	-0.962466135
5483.218056572121	-6.345174005396984	30065680.255918548	40.261233158765606	7116.142797458057	10.426541976057706	108.71277757849332	50639488.313814186	4944.458800215712	-4.972033865927187	24447672.827030595	24.72112076392685	4952.491219584437	5660.072960893341	1.079711	35.511852	0.09371304	0.0566512	-0.0817197233	0.1666993865	-0.0322575317	-0.0464764329	0.0934806083	0.0376798995	0.019602439	-0.1492991149	0.088747218	0.0511217542	0.0153693497	-0.0419270487	0.105045602	-0.1745790046	0.016588693	0.1526619737	-0.0844976458	-0.0225918975	-0.0473887411	-0.029312971	0.1259171417	0.0012656235	0.0627765434	0.1488120672	0.0166117587	-0.0416198926	0.1748204892	0.0918689635	-0.0970199506	0.133812559	-0.0502815135	-0.2298127811	-0.0155508205	-0.1930915785	0.0447273861	-0.0653331972	-0.0395626813	0.2398781309	0.0596624486	0.0712691616	-0.1728773243	-0.0904771399	0.1100439487	0.0314009327	-0.140480222	-0.0712939637	0.1142524023	0.0763285837	-0.0150442886	0.1614863578	-0.2080768309	0.0632054096	-0.018275708	-0.1522437907	0.0778431517	0.0204589119	0.0481919989	0.0323422495	-0.1237099553	0.0299784145	0.0387252902	-0.0803764039	0.0728508873	0.0490488273	0.192705514	0.0808132977	0.106784449	-0.1118542111	-0.1176299411	0.0559961027	-0.1230380423	-0.2339008971	0.0986852405	0.0514670914	0.0111947848	-0.1071103755	-0.238089576	0.0737045332	0.0287155471	0.1959295415	0.1494865537	0.0712762613	-0.1619376993	0.0281292377	0.0076457485	-0.0968284424	-0.0462643384	0.1904409407	-0.1188653181	0.1411781982	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0690452	0.023842	0.000568440964	0.00476723964304	-0.0674972	2.990000000001325e-05	0.0045558720078399	8.940100000007922e-10	-0.139076	-0.0429015	0.00184053870225	0.019342133776	-0.00281042	-5.087000000000017e-05	7.898460576400001e-06	2.587756900000017e-09	9.27011e-05	5.14828e-05	8.59349394121e-09	2.65047869584e-09	0.00245297	0.00043644	1.9047987360000017e-07	6.0170618209e-06	2.226040115	2.230192036	-1.207366541	0.8109338154	-1.495057748	1.474796064	-0.5143362992	-2.39624074	-0.8487227377	-0.1131844008	-0.8812109901	-0.09820188301	-2.490333996	-0.8116292831	0.08611605993	0.3160944756	-1.456417734
5500.428517089617	17.210460517496358	30254713.871612687	296.199951224301	7053.883457688471	-62.2593397695864	3876.225388544803	49757271.83465106	4952.63818892121	8.17938870549824	24528625.03036076	66.90239959563219	4960.634755167253	5668.399592673713	1.18494	38.972832	0.0720974049999999	0.0399252	0.1370686843	0.0506992842	-0.1543913322	-0.1760816017	-0.006947961	0.014110366	0.21257334	0.0553394162	0.0526532683	0.234971549	-0.005257764	0.0915192253	0.0414278399	0.1079899945	-0.1582982818	0.0137458188	-0.101505385	-0.0178207319	0.0642999515	-0.1578529122	0.0296592774	-0.0779814538	0.0530997503	0.0924039604	0.1408540496	0.0853926136	-0.0146162211	-0.0252157229	-0.0909935889	0.0150176465	-0.0570915709	0.0322819864	-0.0907230051	-0.2064605589	0.1223315728	0.2024504534	0.1053930734	0.0353249453	-0.1719808963	0.0387689321	-0.0527376526	-0.2647198824	0.0656243786	0.1393839245	0.1340915765	0.0751711601	-0.1362521067	-0.0871247555	-0.0590402912	-0.2082145255	-0.0240622798	0.075893376	0.1585301256	-0.0221204142	0.1025792891	0.0059258868	-0.0661237377	-0.0994559476	-0.1122145935	-0.0799328233	0.0296733089	-0.0320122008	0.2098453206	-0.0301733559	-0.0199123346	-0.0018567581	0.0617187824	-0.0196018018	0.0040617795	-0.0700899955	0.0432327207	-0.1808248742	0.0766953057	-0.2763061736	-0.1225951681	-0.0475335154	0.1069419447	0.0859865171	-0.0780874046	0.2585645849	0.01217191	-0.0167658875	0.0475001168	-0.0580547328	-0.2350089825	0.1013940484	0.0606917811	-0.1887847496	-0.0515924776	0.0096414044	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0672632	-0.001782	3.1755240000000205e-06	0.00452433807424	-0.0417777	0.0257194999999999	0.00174537621729	0.0006614926802499	-0.157852	-0.0187759999999999	0.0003525381759999	0.0249172539039999	-0.00247858	0.0003318399999999	6.143358816400001e-06	1.1011778559999995e-07	2.6073e-05	-6.66281e-05	6.79801329e-10	4.439303709610001e-09	0.00233504	-0.00011793	1.3907484900000009e-08	5.4524118016000005e-06	2.27551828	2.354525554	-0.8831825428	0.9944913792	-0.5726627753	0.02286903696	-1.776106321	0.3709891391	-1.060456848	-0.7172469414	-0.7394204128	-1.381503672	0.01828521118	-0.9177445338	0.5108260121	-1.339768615	-1.006598146
