global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	aroma_motion_02	aroma_motion_03	aroma_motion_06	aroma_motion_07	aroma_motion_10	aroma_motion_13	aroma_motion_14	aroma_motion_17	aroma_motion_18	aroma_motion_19
6830.906934926991	n/a	46661289.55363366	n/a	9989.342984324869	n/a	99786973.25848047	n/a	5326.803377904072	n/a	28374834.226850227	n/a	7042.136255113167	6396.890595200881	n/a	n/a	n/a	n/a	-0.1179687751	0.1269064892	-0.0566158548	0.1013188162	-0.0621750215	-0.065926324	0.0469776866	-0.0049113181	0.0376616194	-0.0641875458	0.0403038387	-0.1605456808	0.0666034361	-0.075106741	-0.1183598624	0.0783153823	0.0399708778	-0.1545434297	0.1485343385	-0.0224675452	0.0405562738	-0.1393925304	0.1151376933	-0.1273550329	0.0213471878	-0.2124073117	0.1937816475	-0.0436304084	0.0074548623	-0.0821662716	0.0235257794	-0.0317455446	0.1034955207	-0.0077773425	0.03611725	-0.0319337253	0.1730151244	-0.0715586696	0.0623552664	0.0022044811	0.0559748462	-0.0789747673	0.0925948088	0.1151819439	-0.097145048	-0.1257190927	0.130989402	-0.0905919075	0.0590496169	-0.1647650279	0.0310335405	-0.1200244248	0.03340859	-0.0389016628	0.0904887739	-0.1490628654	0.0907309823	-0.0479272319	0.0467305471	-0.1469905982	0.0726439146	-0.0318965945	0.151267054	-0.0657366305	0.1650322028	-0.0248264083	0.0068112565	-0.0361369514	0.1143926361	-0.2086312452	0.1083849224	-0.0066739924	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0215146	n/a	0.0004628780131599	n/a	-0.0174991	n/a	n/a	0.00030621850081	0.121012	n/a	0.0146439041439999	n/a	-0.00131286	n/a	1.7236013795999995e-06	n/a	-0.00232277	n/a	5.3952604729e-06	n/a	-0.00111384	n/a	n/a	1.2406395456e-06	0.0	0.0	0.276047535	-0.7355234996	0.2872022905	-2.423775957	-2.317447517	-0.7209761016	-2.312297293	-1.567347965	-0.4197203298	-0.8785224027
6812.73713636231	-18.169798564681518	46413387.28917012	330.1415798811024	9970.69485629889	-18.64812802597953	99414755.91742513	347.75267887332325	5316.78177949995	-10.021598404121503	28268168.49082265	100.4324345734907	7028.071259080195	6421.333112017408	0.953827	27.729162	0.1586197499999999	0.0900902	-0.1186213419	0.0749635756	-0.0683833411	0.1331245248	-0.1212279339	0.0202427124	0.0260538101	0.0474976687	0.0983066094	-0.0254070191	-0.078479089	-0.0932550737	0.1567864496	-0.0424100505	-0.1572965761	-0.0385253488	-0.059668191	-0.1557058318	0.0186728686	0.0094349727	0.0523373694	-0.1493395331	-0.0982342801	-0.1088521759	-0.1463840966	-0.0238941943	-0.0220893195	0.0113076453	0.1281246479	0.0745123332	0.1097024933	-0.0474326553	0.0520467286	0.0284020275	-0.260931056	-0.081126438	0.0421287122	0.0151235271	-0.1485719806	0.099863343	0.0056022004	-0.0586345664	0.0237173621	0.0723821153	0.0905549881	-0.0589336528	0.1480211822	-0.109577164	0.0674039161	0.0196753901	0.0390463879	-0.1259339071	0.0688087004	-0.0654828349	-0.0236403252	-0.1813869917	0.0655748822	-0.0585637828	0.1244369577	0.0134546614	0.1136431245	0.0930400644	-0.0289805182	-0.1275566596	0.002536718	-0.0118646605	0.1747205087	-0.0224187362	-0.0756641533	0.0420210285	0.0926671925	-0.1436406748	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0259466	0.004432	0.00067322605156	1.9642624000000017e-05	-0.0634245	-0.0459253999999999	0.0021091423651599	0.0040226672002499	0.193562	0.07255	0.037466247844	0.0052635025	-0.00120574	0.0001071199999999	1.4538089476e-06	1.1474694399999964e-08	-0.00237677	-5.39999999999998e-05	5.649035632899999e-06	2.915999999999978e-09	-0.000560713	0.000553127	3.059494781290001e-07	3.14399068369e-07	0.0	0.0	0.5512303565	-0.4702018237	1.25016538	-2.259159407	-2.566120933	-0.8607903776	-2.058656364	-0.8177331359	-0.2224842764	-0.4430478777
6858.48993713873	45.75280077642037	47038884.21783322	2093.3187788868127	9947.978735627	-22.716120671888348	98962280.92448698	516.0221383797931	5341.419515486964	24.63773598701391	28530762.440424997	607.0180345658003	7022.140129219109	6640.120918337234	0.999751	29.06423	0.1122465	0.0511706	-0.0795972977	0.0324174822	-0.0984631525	0.1347881506	0.0074988893	0.1400858694	0.018407102	-0.0085055609	-0.117093034	0.028714842	-0.0219582917	-0.0346089273	-0.0272311937	-0.0702782798	-0.080560753	-0.020126918	0.005927387	-0.1112636404	0.1503612361	-0.0344404569	0.1105479701	-0.0452695722	0.1217897442	-0.1310222762	-0.1741118752	-0.0460015896	-0.090353289	-0.0407809061	0.0820170027	0.0259998195	0.1366715292	-0.0856206933	-0.1119148876	0.0715061162	-0.0219327459	-0.0119549097	0.1086480137	0.0323292831	0.0927659112	-0.0682872895	-0.0863842544	-0.0962984955	-0.1445830413	-0.093776207	0.1291110201	0.0842832806	0.0682434177	-0.068582821	0.104275184	0.0240971539	0.1811969289	-0.0469367306	0.1007934501	0.0378609689	-0.0161967152	0.0315562453	-0.0278281455	0.0157006522	-0.0645152891	-0.1378696114	0.0985117025	0.1871787725	0.0702889254	-0.1213690722	0.3004324624	-0.1244920127	0.0669617819	0.0872571914	-0.0708708368	0.0248471279	0.0347024786	-0.0486938894	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0238901	-0.0020564999999999	0.00057073687801	4.229192249999997e-06	-0.0719974	-0.0085729	7.349461441000014e-05	0.00518362560676	0.148511	-0.045051	0.022055517121	0.002029592601	-0.0020437	-0.0008379599999999	4.17670969e-06	7.021769615999997e-07	-0.0025056	-0.00012883	6.278031360000001e-06	1.659716890000009e-08	-0.000725245	-0.000164532	2.7070779024e-08	5.25980310025e-07	0.0	0.0	0.7510263473	-0.2566845672	1.233625312	-2.074707937	-1.878132301	-0.8268008144	-1.55101967	-0.9548190543	-1.343549645	-1.429655535
6858.101063467028	-0.3888736717017309	47033550.19672758	0.1512227325427856	9950.64916551279	2.6704298857894173	99015418.81512038	7.1311957749172805	5347.518616374729	6.099100887765417	28595955.352474306	37.19903163914089	7035.279900628992	6749.198817563245	1.017035	29.566725	0.1920487446	0.0994227	-0.0655058107	-0.0665233375	0.0326616409	0.1150112588	-0.1145876722	0.0203048477	-0.0127677242	0.0175304729	0.1347171001	0.0619445427	-0.0010491281	0.0015542792	-0.2755824686	-0.1615030388	-0.0611913665	0.03206281	0.0296270651	-0.2336994993	0.0180990085	0.2732729388	-0.0445204479	0.0401903128	0.1076154459	-0.1113900339	-0.3117715452	0.0841592094	-0.0605671305	0.0076709344	-0.1438885536	0.0261462078	-0.1848911894	0.05146067	0.0316300197	0.1213553674	0.1492714205	-0.022673949	0.019221027	0.1920725507	-0.0293902377	-0.2225563839	0.0060060594	0.0379409453	0.1862386563	-0.0895260294	0.0065949185	0.0437773661	0.0640428204	0.0393934891	-0.0201593466	0.0540643885	0.0399808043	-0.1041318306	0.2627755088	0.0614296136	0.0176824685	0.0868431921	0.0608348524	0.2276383096	0.1380465342	0.2365878407	0.253746752	0.0693118228	-0.0689877907	0.2461046974	0.219057553	0.1269146063	0.0182127681	-0.0851780681	-0.0003036513	0.1430632821	-0.0647802998	0.1574042283	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-2.00446e-05	-0.0239101446	4.0178598916e-10	0.0005716950147929	-0.0739748999999999	-0.0019774999999998	3.910506249999589e-06	0.0054722858300099	0.0886089999999999	-0.0599020000000001	0.0078515548809999	0.003588249604	-0.00141387	0.0006298299999999	1.9990283769e-06	3.966858288999998e-07	-0.00159339	0.00091221	2.5388916921e-06	8.321270841000002e-07	-0.000142103	0.000583142	3.4005459216400004e-07	2.0193262609e-08	0.0	0.0	0.5266330423	-0.1536161454	1.943134842	-2.39888862	-2.071384257	-0.7129630768	-0.8088016695	0.1602526613	-1.561463813	0.1399329047
6882.7948919371975	24.693828470169137	47372865.52447677	609.7851645141359	9951.900980128748	1.2518146159582102	99040333.11828756	1.5670398327266013	5358.947833606989	11.42921723225936	28718321.88332104	130.62700654217434	7035.850821175487	6758.665589365101	1.182331	34.372124	0.2994873054	0.166158	-0.0605490965	-0.1222610165	0.0879515412	-0.0071569287	0.0135428998	-0.2770755277	0.0337840798	0.0721777104	-0.0596043566	0.0487920794	-0.0039744159	-0.2543390276	-0.0986634627	0.1119818385	-0.0314398377	0.1077178664	-0.0704892117	0.0592077673	0.1107383703	-0.1298718341	0.1333992047	-0.1119113845	-0.2166396421	0.0006674643	-0.0302354023	0.1901290726	-0.0759458874	-0.1025428759	-0.4131355097	0.0906069058	0.0759214542	0.0222327618	-0.0371629114	-0.018604731	-0.1364607622	0.1191873321	-0.1058385555	0.0088961527	0.2389577209	-0.0467714032	0.2105349669	0.0691280368	-0.1733190591	0.0128813461	-0.0500210555	0.0081965815	0.0237962827	0.148771201	-0.0722562496	-0.0123594014	-0.0537136331	-0.0148636651	0.016576362	0.0981983805	0.2124514795	-0.122888756	-0.2108126721	0.0536759412	0.0560362129	0.0093315834	0.1433483129	-0.2223643496	-0.019606732	-0.1834534005	-0.0759305548	-0.1408866628	-0.0138546528	0.2346089011	-0.0043156365	0.2856415541	-0.2292261433	0.1338630068	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.040306	-0.0402859554	0.001624573636	0.0016229582024907	-0.0816318999999999	-0.0076569999999999	5.862964899999996e-05	0.0066637670976099	-0.0724698	-0.1610787999999999	0.00525187191204	0.0259463798094399	-0.00200737	-0.0005935	4.0295343169e-06	3.522422500000001e-07	-0.000426559	0.001166831	1.8195258048100002e-07	1.3614945825610003e-06	-9.3123e-05	4.898000000000001e-05	2.399040400000001e-09	8.671893129e-09	0.0	0.0	0.5051067348	-0.2389662123	0.8463091617	-1.711520082	-1.534003492	0.1899097513	-2.011228906	-0.7048807734	0.4648649183	-0.5713237647
6841.537482866695	-41.25740907050204	46806635.12946996	1702.1738032107437	9943.592410526542	-8.308569602206262	98875030.02668104	69.03232883470592	5345.2958985251125	-13.651935081876218	28572188.24278939	186.37533147976265	7037.761303067452	6614.432467754071	1.082894	31.481342	0.26672935	0.121885	-0.0855127314	-0.0144112227	0.1203229771	-0.0040562926	-0.0105972488	0.006783402	-0.0704445115	0.1057332553	0.0585989774	-0.0658309668	0.0668719834	0.0831991286	0.0147546758	0.0366624606	-0.0638025992	0.0589464921	0.0288691023	0.0761825837	0.0043499977	0.021327208	-0.0314287305	-0.0583497012	-0.1175782257	0.1292402527	-0.0950633643	0.0547655416	0.0955053239	0.2892559806	0.0691701917	0.1785192663	-0.0576123969	-0.0202002055	-0.0565279472	-0.063142353	0.0457524648	-0.0202968863	-0.1183824214	-0.1472787034	0.0934267551	-0.0574614725	0.1109150589	0.0558492192	0.0086700995	0.027175719	-0.1430177343	-0.2183829827	0.0686514127	0.0015108249	-0.0813344835	-0.0772247563	0.0413517713	0.1416141401	0.0037628376	-0.0344846798	-0.0191093434	-0.0919697852	0.0260010187	-0.0265562877	0.051928716	0.2033342055	-0.0765692059	-0.0871284011	0.017781418	-0.0175611581	0.0806054333	-0.0406558692	-0.1587036509	-0.0404449062	0.0351518692	0.1354404114	0.0401489276	-0.1814414194	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0102922	0.0505982	0.00010592938084	0.00256017784324	-0.0543093	0.0273225999999999	0.0007465244707599	0.0029495000664899	0.0437021	0.1161719	0.00190987354441	0.0134959103496099	-0.00115257	0.0008548	1.3284176048999998e-06	7.306830400000003e-07	-0.000952103	-0.000525544	9.06500122609e-07	2.76196495936e-07	-0.000165512	-7.238900000000001e-05	5.240167321000002e-09	2.7394222144000003e-08	0.0	0.0	0.3251202255	-0.2389733812	0.2062805805	-2.25408565	-1.249778234	0.2123995393	-1.586994235	-2.208869853	-0.2079125618	1.045133973
6866.580045711006	25.04256284431085	47149921.52415656	627.1299538112584	9947.37283977056	3.780429244017796	98950226.41340502	14.291645269024963	5345.5065904522135	0.2106919271009246	28574440.708568048	0.0443910881455013	7036.220412079656	6754.5555291167175	1.054785	30.664148	0.10828301	0.0588477	-0.0665721702	-0.1056349061	-0.0185186831	0.0337654816	0.0288103596	0.112298671	0.110350912	-0.0208954447	0.0173015233	-0.0611011366	0.0385593436	0.010666321	0.0503157549	0.1166268269	-0.0631601295	-0.0114026959	-0.0142510007	0.0321530266	-0.0643564889	0.0415125282	0.0013682804	0.0127750559	-0.0648237979	-0.0391310577	0.0343913088	-0.0090887065	0.0107892879	-0.0462905113	0.0758971731	-0.1647986115	-0.0237687444	-0.129986224	0.0860390678	-0.0467004159	0.0724713026	0.1197009626	-0.1144414499	-0.1257909615	0.0709499643	0.0737636572	0.1472425476	0.214470325	0.1679282801	0.0093447751	-0.075940781	-0.1160430069	0.0771353378	0.0797938275	0.0208364274	0.1106379119	-0.0217982369	0.0194715948	-0.0173298431	-0.0484390027	-0.0328270629	0.0429183827	0.0822730414	-0.0181597828	0.0332974296	-0.1289852885	-0.0151244146	-0.0655624983	0.0494422231	-0.0110049334	-0.0589535631	0.1823530338	-0.0173585547	0.0818939758	-0.0451307925	-0.0156612826	0.0212553175	-0.0814496942	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.00554409	-0.00474811	3.0736933928099995e-05	2.25445485721e-05	-0.0738275999999999	-0.0195182999999998	0.0003809640348899	0.0054505145217599	0.0649259	0.0212237999999999	0.00421537249081	0.0004504496864399	-0.00175295	-0.00060038	3.0728337025000003e-06	3.604561444000002e-07	-0.00148565	-0.000533547	2.2071559225e-06	2.84672401209e-07	-0.000287441	-0.0001219289999999	1.4866681040999994e-08	8.2622328481e-08	0.0	0.0	0.1190099806	-0.2048584339	1.612014589	-1.771476724	-1.786509248	0.4727090463	-1.380067625	-1.615873	-0.2892060816	0.4426564246
6840.7934371422425	-25.786608568763768	46796454.84964838	664.949181478641	9903.979453021208	-43.39338674935243	98088809.00586626	1882.9860135788751	5341.182487068976	-4.324103383237343	28528230.36017233	18.69787006892464	7006.97846254546	6499.452958274757	1.005802	29.240162	0.1746525399999999	0.0883565	-0.1027533609	0.150143345	0.2048052263	0.0774131666	0.0634437231	0.0132602851	-0.0418059702	-0.2135998005	-0.0012009077	0.0798205459	0.0316685936	-0.0709405434	-0.0656944564	-0.0363704253	-0.0556286073	0.0613873588	0.074693644	0.032082341	-0.03427819	-0.0808353984	0.2240494173	-0.0105271659	0.1548550232	-0.1448635344	0.2265545713	-0.084422267	0.0020269248	0.112607549	-0.1000924426	-0.2981351045	-0.0724372636	0.2124385214	-0.0031051509	-0.0103496349	0.0141500444	-0.1295789449	-0.1316264469	-0.0202399482	-0.0737688518	0.1277770078	-0.0745372605	-0.0405837602	-0.0940293518	-0.07860624	0.0329343094	0.114320443	0.0270355832	-0.0555525567	-0.2279721167	-0.0821056393	0.1212554634	-0.186143891	-0.0836980997	0.0663003454	-0.0321444764	0.104145766	-0.0231916888	0.0405884654	-0.1247819686	-0.2100482329	-0.0410226715	-0.0485466075	-0.069704084	-0.08731507	0.0228625497	0.1081594005	-0.1166011345	-0.1788281187	0.1777798829	-0.0683996001	-0.1657157829	0.2212820689	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0183185	-0.02386259	0.00033556744225	0.0005694232015081	-0.0298039	0.0440236999999998	0.0019380861616899	0.00088827245521	0.011671	-0.0532548999999999	0.000136212241	0.0028360843740099	-0.00159274	0.00016021	2.5368207076000003e-06	2.566724410000001e-08	-0.00112422	0.00036143	1.2638706084e-06	1.3063164490000004e-07	-0.000836028	-0.000548587	3.009476965690001e-07	6.989428167840001e-07	0.0	0.0	0.1121641184	-0.4007191964	0.9990816582	-1.471075723	-1.293496008	-0.5527667963	-2.62905302	-1.303749987	-0.4315225331	-0.9119935751
6886.513357519963	45.71992037772088	47424066.22330088	2090.3111193451373	9978.606204371692	74.62675135048448	99572581.78192525	5569.152017127038	5362.141209984571	20.95872291559499	28752558.3558148	439.26806625268654	7050.994706296228	6992.925533800127	1.075547	31.267731	0.06804181	0.0412981	-0.0254349212	0.1639683082	-0.1474135567	0.0717095169	0.0806239938	-0.0850175257	0.0426499418	0.0429563889	-0.0382011522	0.0638730978	0.0009429329	0.0720944191	-0.0024046479	0.0350608772	-0.0322219366	-0.0327867922	-0.0845468121	0.0818896339	-0.1619086692	0.1244973568	-0.1250233751	-0.1041869494	-0.0599240165	-0.0317806981	0.0115244175	0.096332961	-0.0575709219	0.0243895585	0.0608905717	-0.107772863	-0.084375059	0.1117219618	0.1700584304	-0.056353022	0.0571049829	0.1481956578	0.1094090185	-0.2016596364	-0.1936642191	0.1210773819	0.1382882143	0.0618317991	-0.0349238367	0.0862046341	-0.0648105468	0.1361148058	0.0375620681	-0.110185714	0.1169071561	-0.0926034527	-0.1294672219	-0.1229547518	-0.1344335409	-0.0050160848	-0.0348056528	0.1637482647	-0.0670271728	-0.0331233644	0.100847958	0.0838331626	-0.0243387551	0.0710461796	-0.0124159841	0.0276137034	-0.2265238046	-0.0840688304	-0.1529691375	0.1115569673	-0.012082935	-0.1138575173	0.1711704943	-0.0055078251	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.00227804	0.01604046	5.189466241599999e-06	0.0002572963570116	-0.0368864	-0.0070824999999999	5.016180624999998e-05	0.00136060650496	0.0117846	0.0001135999999999	0.0001388767971599	1.2904959999999642e-08	-0.00101335	0.0005793899999999	1.0268782225000002e-06	3.356927720999999e-07	-0.00102309	0.00010113	1.0467131480999998e-06	1.0227276900000012e-08	-0.000620443	0.000215585	4.6476892225000014e-08	3.849495162490001e-07	0.0	0.0	0.920668515	0.1157833576	1.6885629	-1.472501519	-2.232772663	0.8729706268	-0.8713088053	-1.426782945	0.6142291063	-0.2324701751
6905.120981379817	18.607623859853447	47680695.767491765	346.2436657097873	9960.249572634031	-18.35663173766079	99206571.5491564	336.96592875209546	5372.130425777328	9.989215792757022	28859785.311562497	99.78443215426633	7043.959368539203	6966.710984024556	0.980288	28.498421	0.184169658	0.125049	-0.0243686747	-0.0672803515	-0.0430921041	-0.0063704506	0.0941416162	0.0294537567	-0.0378261443	-0.0809722933	-0.0400723412	0.0478856659	0.0255835278	-0.0227421139	-0.0005709555	-0.0747447644	0.0332696439	0.0702641212	0.0273529257	0.0523105528	-0.0033666086	-0.0904333052	0.056414864	-0.0063656269	0.1393604101	0.0348081159	0.1026728273	-0.0696147911	0.2470905643	0.0800322996	0.0157783339	-0.1024172001	-0.1046768038	0.1442697238	-0.127913203	-0.0295676243	-0.1406598701	0.2557439824	-0.1444598214	0.0917017005	0.0081443249	-0.1131414732	-0.1745642676	-0.0985632114	0.0218639482	0.0810898953	0.0805378082	0.0963623202	-0.0246245661	0.084463132	0.0519040067	-0.0318099537	0.0037252835	0.0042203265	-0.0458835849	0.0484840166	-0.009317506	0.0794849508	-0.0409563016	-0.0673160431	-0.1399883102	-0.1034693825	-0.0736297477	-0.0928696991	-0.0433149804	0.0141721378	0.1015855844	-0.0877516637	-0.1729391488	-0.0673751311	0.0430687274	0.0102418102	0.0015819401	0.1329911074	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0116688	-0.00939076	0.00013616089344	8.81863733776e-05	-0.000997002	0.035889398	0.0012880488888024	9.94012988004e-07	-0.0979136	-0.1096982	0.00958707306496	0.0120336950832399	-0.0007077	0.00030565	5.0083929e-07	9.342192250000005e-08	-0.000960499	6.259099999999997e-05	9.22558329001e-07	3.917633280999996e-09	-0.000836028	-0.000215585	4.6476892225000014e-08	6.989428167840001e-07	0.0	0.0	0.8856940163	0.1040134447	0.735481362	-1.337342301	-1.186381596	1.058799609	-1.709337812	-1.168763424	-0.4664057208	-0.150430561
