global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	aroma_motion_04	aroma_motion_07	aroma_motion_08	aroma_motion_09	aroma_motion_10	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_19	aroma_motion_21	aroma_motion_22	aroma_motion_24	aroma_motion_25	aroma_motion_26	aroma_motion_27	aroma_motion_28
6786.929288673657	n/a	46062409.1694563	n/a	8834.639431194246	n/a	78050853.87921219	n/a	5245.299244826761	n/a	n/a	27513164.167780194	5477.323741378988	7420.576876658638	n/a	n/a	n/a	n/a	-0.1005983735	0.02007367	-0.0746354614	-0.0205752092	-0.1289857888	0.0869791314	-0.0092992181	0.0243238436	-0.0139061587	0.0271164307	-0.0041109742	0.0041612918	-0.0672389979	-0.0191135457	-0.0334048127	0.0043829547	-0.0001990452	0.1114946882	-0.0106091187	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0195133	n/a	0.00038076887689	n/a	-0.0521683	n/a	0.00272153152489	n/a	-0.0548947	n/a	0.0030134280880899	n/a	-0.00293012	n/a	n/a	8.5856032144e-06	-0.00113631	n/a	1.2912004161e-06	n/a	-0.00120826	n/a	1.4598922276e-06	n/a	0.0	0.0	0.0	-1.166349363	-1.264220017	-1.051022595	-0.7309581548	-1.304299381	-0.4162529676	0.22625302	-0.6711545042	-0.1625067026	-0.1167901458	0.1785504468	-0.3990221914	0.502289964	0.3711719999	-0.1313735472	-0.9191099386	1.691849653	-0.5822660888	-1.049915089	-1.714380094
6795.563889384406	8.63460071074951	46179688.57470532	74.55632943407593	8837.067654090206	2.4282228959600616	78093764.72296737	5.896266432464668	5237.66522659162	-7.634018235141411	58.27823441447159	27433137.025847048	5460.234985759021	7431.590033748011	0.705228	28.211452	0.05902236	0.0388777	-0.0892770444	0.0685994566	-0.0965872277	-0.0137373749	-0.0825715065	0.0406423746	-0.1004865006	-0.103602951	-0.0026952743	0.0116719226	0.0105684263	-0.0166189175	-0.0389641088	-0.0057662386	-0.0167622916	-0.0083526625	-0.0175960951	0.0747664581	0.0021248921	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.00671364	-0.01279966	4.50729620496e-05	0.0001638312961156	-0.0520859	8.24000000000033e-05	0.0027129409788099	6.7897600000005455e-09	-0.093271	-0.0383763	0.008699479441	0.00147274040169	-0.00306631	-0.00013619	1.85477161e-08	9.4022570161e-06	-0.0011554	-1.909000000000004e-05	1.33494916e-06	3.6442810000000136e-10	-0.00120826	0.0	1.4598922276e-06	0.0	0.0	0.0	0.0	-1.409296036	-1.248515431	-0.4032677727	-0.5692920173	-1.422362739	0.01459052789	0.53503603	-0.06294463941	-0.01964404074	0.2889840237	0.2708716679	-0.07436532282	0.3200819821	0.6817709148	-0.2656601253	-0.7716143879	1.092955568	-0.9678027091	-0.4214508593	-1.57309892
6800.168674136931	4.60478475252512	46242293.99671323	21.20404261708783	8809.186763860329	-27.880890229876968	77601771.44057201	777.344040010449	5250.126996839474	12.461770247853565	155.2957177102883	27563833.48294267	5484.899460078674	7604.855151111141	0.7965959999999999	31.866446	0.021054828	0.0118323	-0.0663496237	0.0023388572	0.0835149684	-0.0343518089	-0.0483261612	0.0792061059	0.0384008575	-0.0186399826	-0.0165358595	-0.0042478191	-0.0043552421	0.0020203595	-0.0394250972	-0.0217062934	0.0055633923	-0.0151339831	0.0133785484	0.0872508111	-0.0644442635	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.000184812	-0.0065288279999999	3.4155475344e-08	4.2625595053584e-05	-0.052086	-1.0000000000287557e-07	0.002712951396	1.0000000000575111e-14	-0.0894535999999999	0.0038174000000001	0.0080019465529599	1.4572542760000837e-05	-0.00313186	-6.555000000000016e-05	4.296802500000021e-09	9.8085470596e-06	-0.00130402	-0.0001486199999999	1.7004681603999998e-06	2.2087904399999972e-08	-0.00120826	0.0	1.4598922276e-06	0.0	0.0	0.0	0.0	-1.343214267	-0.9427604203	-0.833738039	-0.371310394	-1.304979803	-0.2221683292	0.1283783435	-0.4032477493	0.01395564932	-0.1763721937	0.02970616396	-0.3503693498	0.1627873027	0.1659893914	-0.7376850713	-0.8579047272	0.931145367	0.3621151467	-0.5444256712	-1.46739491
6779.138442258558	-21.030231878373343	45956718.019307785	442.2706528581504	8870.183147549888	60.99638368955857	78680149.07107803	3720.558823203847	5237.83134345848	-12.295653380993826	151.1830920655449	27434877.182516064	5472.5454148467725	7378.944804259382	0.725152	29.008448	0.0834187179999999	0.0394923	-0.1087287865	-0.0148394162	-0.045776967	-0.0138761989	-0.1460425549	-0.0512586306	-0.0501992556	0.0678034759	0.000112882	0.0153527263	0.0137382006	-0.0187701644	-0.0305405516	-0.0067301599	-0.0269091292	-0.0159599699	-0.0247731817	0.1228266309	-0.0525863793	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0072858799999999	0.0071010679999999	5.308404737439854e-05	5.0425166740622577e-05	-0.0664839	-0.0143978999999999	0.0044201089592099	0.0002072995244099	-0.0681774	0.0212761999999998	0.00464815787076	0.0004526766864399	-0.00316623	-3.436999999999971e-05	1.18129689999998e-09	1.00250124129e-05	-0.000860209	0.0004438109999999	7.39959523681e-07	1.969682037209999e-07	-0.00087357	0.00033469	7.631245449000001e-07	1.120173961e-07	0.0	0.0	0.0	-1.254621245	-1.249634073	-0.6108159544	-0.6816461451	-1.41736837	-0.1905306787	0.5302948323	-0.3692681966	-0.05384708007	-0.03889878706	0.4868646628	-0.0748261883	0.4921240284	0.4913223042	-0.2990557676	-1.331866783	1.811391661	-0.8653738806	-0.4767217877	-1.914108571
6769.734593026444	-9.403849232114226	45829306.46001891	88.43238038033532	8858.447935754766	-11.73521179512136	78472099.83047788	137.71519587635547	5232.8259717890005	-5.005371669479246	25.05374554962545	27382467.651029497	5463.131114283171	7312.686224020367	0.7327129999999998	29.310923	0.0342724	0.0236411	-0.1335224767	0.0336378294	0.0196157807	-0.0191420242	-0.0968410103	0.0782830908	-0.072771115	-0.0183004262	0.002948646	-0.0152693693	-0.0228851079	0.0190355563	-0.0470483858	-0.0019567656	0.0122426779	0.0109658759	0.0210554817	0.0960661618	-0.0354021165	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.00891328	0.0016274000000001	7.944656035840002e-05	2.6484307600003283e-06	-0.0602198	0.0062641	0.00362642431204	3.923894881000002e-05	-0.0673098	0.0008675999999999	0.00453060917604	7.527297599999933e-07	-0.0031355	3.073000000000008e-05	9.443329000000046e-10	9.831360249999998e-06	-0.00130759	-0.0004473809999999	1.7097916080999998e-06	2.0014975916099997e-07	-0.000905725	-3.2154999999999966e-05	8.20337775625e-07	1.0339440249999976e-09	0.0	0.0	0.0	-1.084079945	-1.038816263	-0.7808472913	-0.5028135912	-1.425501685	-0.4961861498	0.3625235648	-0.5920502075	-0.09206269506	-0.1690845076	0.05619374361	-0.3766625029	0.3212018417	0.3114112016	-0.05764487748	-0.6222744158	0.2740265369	-0.04988377349	-1.081593034	-1.295428132
6810.132119861699	40.39752683525512	46377899.489972	1631.9601744051577	8871.466622114871	13.018686360104766	78702920.02729824	169.4861945427779	5243.753829458406	10.927857669405055	119.41807324277492	27496954.22395969	5475.421514705108	7482.470757414146	0.711437	28.459818	0.07030222	0.0384548	-0.0867212598	0.0234623863	-0.0245846981	-0.0160233091	-0.0383596986	0.1371490683	0.0065584839	-0.0204736634	-0.0007112414	-0.0120415287	0.0228899218	0.0019289887	-0.0249010591	-0.0050654101	0.014671595	-0.0349396504	0.0031548172	0.0719684851	-0.0407612233	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0300193	0.0211060199999999	0.0009011583724899	0.0004454640802403	-0.0711243	-0.0109045	0.00505866605049	0.00011890812025	-0.0428756	0.0244342	0.00183831707536	0.00059703012964	-0.0031935	-5.8000000000000326e-05	3.364000000000037e-09	1.019844225e-05	-0.00131682	-9.230000000000044e-06	1.7340149124e-06	8.519290000000084e-11	-0.000695805	0.00020992	4.841445980249999e-07	4.406640640000002e-08	0.0	0.0	0.0	-1.405949474	-1.185044555	-0.4783968985	-0.5896021495	-1.064975989	0.1181923589	0.6241479915	-0.01701654769	0.1048262078	0.3013113608	0.3427956861	0.1985848312	0.3716508233	0.6812260958	-0.3464599782	-0.5713723861	1.407194386	0.2602884734	-0.6660086658	-1.760317371
6827.684911888569	17.55279202687052	46617281.25603082	308.1005079385693	8909.509465886076	38.0428437712053	79379358.9227136	1447.2579622003338	5257.593861920376	13.840032461970624	191.54649854840065	27642293.21690281	5478.219982792642	7657.166146855537	0.745662	29.828934	0.0495567	0.0256416	-0.0308994345	0.0267573571	-0.097638556	0.0044772471	-0.0145375639	-0.0319859209	-0.0152121844	-0.1220006263	-0.0199062214	0.0080151207	-0.0244421837	-0.0205690003	-0.0068701646	-0.0182728661	-0.0136521569	0.0283974489	-0.0230643484	-0.0039284525	0.0151487373	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0265543	-0.0034649999999999	0.0007051308484899	1.2006224999999995e-05	-0.0671749	0.0039494	0.0045124671900099	1.5597760360000043e-05	-0.023176	0.0196996	0.000537126976	0.00038807424016	-0.00276186	0.00043164	1.863130896000001e-07	7.627870659600001e-06	-0.00130418	1.263999999999996e-05	1.7008854724000002e-06	1.59769599999999e-10	-0.000691231	4.573999999999919e-06	4.778002953610001e-07	2.0921475999999263e-11	0.0	0.0	0.0	-1.034905838	-0.9172341556	-0.526553326	-0.1565013303	-0.5151608605	-0.1626313146	0.559693376	-0.2161839111	-0.02455744598	-0.01778391164	0.2040889363	-0.04426563785	0.4522751886	0.4055685502	-0.2720260465	-0.8157378228	1.331897593	-1.672379211	-0.7792776473	-1.330192087
6831.272719318137	3.5878074295678744	46666286.96570022	12.872362151662438	8881.772439898868	-27.737025987207744	78885881.6741471	769.3426106150378	5259.286844611506	1.6929826911300552	2.866190392465964	27660098.113903653	5485.095525819642	7610.315475016919	0.730229	29.211575	0.0697521999999999	0.0459899	-0.0524220983	-0.037241538	0.0403843093	-0.0234546052	-0.0217757378	-0.0984808203	-0.0379749159	0.0267338666	-0.0091475017	-0.0141478695	0.0563307424	0.0026591744	-0.0481782969	-0.0111524942	0.0087415314	-0.0448079963	-0.0057339573	0.0541384284	0.0341462713	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0160332	-0.0105210999999999	0.00025706350224	0.0001106935452099	-0.0577027	0.0094721999999999	0.00332960158729	8.972257283999987e-05	-0.0664939	-0.0433178999999999	0.0044214387372099	0.0018764404604099	-0.00276186	0.0	0.0	7.627870659600001e-06	-0.00121231	9.186999999999996e-05	1.4696955361000005e-06	8.440096899999994e-09	-0.000654281	3.695e-05	4.2808362696100004e-07	1.3653025e-09	0.0	0.0	0.0	-1.069764614	-1.162424649	-0.2361071528	-0.3697778594	-1.104325607	0.2112020545	0.7288961493	0.09757143861	0.2736546841	0.2870983484	0.3473685075	0.06603967517	0.5479487042	0.5872629943	-0.2193590699	-0.9280339176	0.2147994496	-0.6871984313	-0.5395088401	-1.451824888
6848.159592180942	16.88687286280492	46897289.79997985	285.1664750845373	8912.83170229007	31.059262391201628	79438568.95334691	964.677780285512	5252.930361457241	-6.356483154265334	40.404878090458965	27593277.3823193	5470.784630279822	7692.13258431099	0.705664	28.228868	0.1021081499999999	0.0573699	-0.0255821787	-0.1332953877	0.0462244431	-0.0015694565	-0.0039201387	0.09736645	-0.0537520091	0.1791356305	-0.007839143	-0.0114327687	-0.0279932463	-0.0021973575	-0.0377985122	-0.0050203744	0.0100438746	0.0312779992	0.0076687512	0.0285934974	0.0253161321	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.016134	0.0001007999999999	0.000260305956	1.0160639999999621e-08	-0.0764288999999999	-0.0187261999999998	0.0058413767552099	0.0003506705664399	-0.0231901	0.0433037999999999	0.00053778073801	0.0018752190944399	-0.00301186	-0.0002499999999999	6.249999999999989e-08	9.0713006596e-06	-0.000701282	0.000511028	4.91796443524e-07	2.6114961678400005e-07	-0.0006928	-3.851899999999999e-05	4.799718400000001e-07	1.483713360999999e-09	0.0	0.0	0.0	-0.8023868003	-1.675888863	-0.4184894858	0.005645355892	-0.3073156307	-0.1556620287	0.6144136567	-0.1035513622	0.05052470116	-0.1049514089	0.08725437361	-0.09003018718	0.6422792095	0.3241571136	0.4612057082	-0.5355942591	0.7466253906	-1.380004095	-1.191651927	-1.333248002
6879.008787537506	30.84919535656354	47320761.89901822	951.6728541474216	9027.300369777431	114.46866748736102	81492151.96618375	13103.075836332022	5259.067048058413	6.136686601172187	37.65892244100625	27657786.21597383	5484.36249320345	8020.224912840704	0.787311	31.495031	0.0387026499999999	0.0252862	0.0445634083	0.0359730203	-0.0435234391	0.0293624267	-0.0042079679	-0.0787722355	0.0402987626	-0.0353899179	-0.006910559	0.0108582152	-0.0172823794	-0.0069213217	-0.0074094424	-0.0054679714	-0.0126281343	0.025382896	-0.0139358788	-0.0203547362	0.0375364562	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0161204	-1.359999999999903e-05	0.00025986729616	1.8495999999997358e-10	-0.0553525	0.0210763999999998	0.00306389925625	0.0004442146369599	-0.0231369	5.3200000000003245e-05	0.00053531614161	2.830240000000345e-09	-0.00276186	0.0002499999999999	6.249999999999989e-08	7.627870659600001e-06	-0.000802471	-0.000101189	6.43959705841e-07	1.0239213721000002e-08	-0.0006928	0.0	4.799718400000001e-07	0.0	0.0	0.0	0.0	-0.8808322282	-0.8104402507	-0.03083242355	-0.1879283621	-0.1414073721	0.3610217546	1.017353824	0.1580368992	0.01877501829	0.3662589165	0.1752551199	0.3585531823	0.3979290001	0.4479728018	-0.4072271411	-0.9216166508	1.72558975	-0.8147781657	-0.1833424988	-1.290330474
