global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_04	aroma_motion_06	aroma_motion_07	aroma_motion_09	aroma_motion_11	aroma_motion_13	aroma_motion_15	aroma_motion_17	aroma_motion_19	aroma_motion_20	aroma_motion_21	aroma_motion_22	aroma_motion_23
6456.045607346998	n/a	41680524.88414446	n/a	10843.025882843142	n/a	117571210.29600628	n/a	4951.448215262433	n/a	n/a	24516839.428425536	5945.680010120108	6156.380503474876	n/a	n/a	n/a	n/a	-0.1171983625	-0.0518462878	0.139629164	-0.0088769312	0.0387751834	-0.1632832326	0.0879245056	-0.0683201424	0.0995790739	-0.1272167085	0.0180389118	-0.0238910031	0.1479680301	-0.0656872781	0.0370995169	-0.0520351814	0.2058634066	-0.031409601	0.034260111	-0.1746423496	-0.1052919334	0.1122559991	-0.1349101271	0.0953711312	-0.0727902192	0.0797983547	-0.0839359489	0.0109553386	-0.0408960824	0.1284277065	-0.0057250362	0.0716757118	-0.0206782466	-0.0355985093	0.1330821981	0.0146630334	-0.0638074746	0.1413755707	-0.0730325108	-0.0130148186	-0.1764752174	0.0082506914	-0.0632419243	0.0100543987	-0.1325532014	0.0047683248	-0.0090930012	0.1600435667	-0.1166980857	0.0908664247	-0.0309731745	0.1226534897	-0.1015950804	0.0286748215	-0.0928763163	0.3321042463	-0.0951849473	0.1478474084	-0.147977627	0.0723047235	-0.1135431026	0.0743424278	-0.0141363609	0.0507940391	-0.0699054874	0.1192319477	-0.0039410619	0.0544888441	-0.0367231609	0.0218069412	0.0036402436	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0323935	n/a	n/a	0.00104933884225	-0.146895	n/a	0.021578141025	n/a	0.333023	n/a	n/a	0.110904318529	-0.00273533	n/a	7.482030208899999e-06	n/a	-0.00106412	n/a	1.1323513744e-06	n/a	-8.873979999999998e-05	n/a	7.874752104039996e-09	n/a	-0.6699242271	1.013685509	-2.222047723	-1.46400578	-3.155151395	-2.661319361	-0.5034159429	0.5347079721	0.2334257442	-0.8434798006	-0.7186436147	-1.013172196	-0.4807369057
6479.334870752253	23.28926340525504	41981780.36734612	542.3897899593517	10821.470284382092	-21.55559846104916	117104219.11576463	464.6438250139848	4938.5925213552255	-12.855693907207751	165.2688658358185	24389696.09198576	5940.83193034549	6303.37339140845	1.154206	34.481533	0.39873256	0.234359	-0.0794365133	0.0259036594	0.1294861867	0.0141806317	0.001031641	-0.0424502089	-0.0077392658	0.0994790361	0.1734766008	0.1434248889	0.0064736573	0.0110583571	-0.1539121073	0.0334032229	-0.0223862806	-0.0807196377	-0.132077668	-0.3457732541	0.0573509216	-0.1935679437	0.0031358718	0.081933586	-0.0205835682	-0.0339745732	0.0319220982	-0.1120905782	-0.0960848046	-0.1164995708	-0.1215333877	-0.0085801736	-0.1018503827	-0.024081708	0.0449626991	0.0218137213	-0.0771571047	0.0041234991	-0.0975186893	0.1312645065	0.117583144	0.0665364776	0.0621522354	0.0419116415	-0.1608152364	-0.0117526503	0.1354799563	0.0245345793	0.0073101367	-0.1344575606	0.1485505924	0.0977722306	0.0057422398	0.1083732347	0.078992121	-0.1374939681	-0.2436717465	0.2008640381	0.149649596	-0.1497653429	-0.030882151	-0.1885256362	-0.1100278884	-0.0756766047	-0.0598120244	-0.0614640506	0.0538384363	0.09968965	-0.0217013078	0.0878706008	-0.163578481	-0.0344789878	-0.0509761783	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0389445	0.006551	4.2915601000000016e-05	0.00151667408025	0.0340373	0.1809323	0.00115853779129	0.03273649718329	0.192814	-0.140209	0.019658563681	0.037177238596	-0.00323126	-0.00049593	1.04410411876e-05	2.459465649000004e-07	-0.00118052	-0.0001164	1.3936274704e-06	1.3548960000000005e-08	-0.000897215	-0.0008084752	8.049947562250001e-07	6.536321490150402e-07	-0.3145713763	1.745043138	-1.383403372	-2.106241521	-1.841614072	-2.14161039	-2.093213952	2.383967634	-2.044261188	2.346224592	-0.3050132404	-1.859543535	-0.9967100179
6448.126039147501	-31.20883160475205	41578329.41673204	973.9911701337704	10873.505445958106	52.03516157601371	118233120.6832806	2707.658040241853	4952.826564446259	14.234043091033527	202.6079827173993	24530490.97748453	5952.415791970811	6199.103111880434	1.116934	33.36805	0.2645707	0.168602	-0.1111961815	0.0764926188	-0.0468080491	-0.0661024989	-0.0700304426	-0.158118284	-0.0959723657	-0.1085732267	0.1139687004	0.028685142	0.0312914122	-0.1017307238	0.0968953129	-0.0070755617	-0.1000205896	-0.0525217274	0.0011049625	-0.0601104411	0.0560886565	-0.3179443643	0.0541247967	0.2311252774	0.0444215047	0.0890158656	0.0406463725	-0.0251808528	0.1715085726	-0.1534452626	0.1497123699	-0.080592869	-0.0375867979	0.0666766724	0.0772618956	0.0526338841	-0.1885307816	0.0245831163	-0.0302965737	-0.1014742272	0.000257557	-0.143470746	0.1276981291	0.1456531702	-0.0604190035	0.0019917888	0.0444449702	0.1255677598	0.0907691076	0.1776324629	-0.0687166857	0.011739204	-0.0301790178	0.0288071762	-0.0510735797	-0.130063921	-0.0330253191	0.3233124135	0.0433522925	-0.0303794655	0.0381221882	-0.1537882418	0.0938723602	-0.2131853028	-0.1399243639	0.0872770621	0.0146913973	-0.1141554015	0.1064927514	0.0543795247	0.2002985981	-0.1448204901	-0.0360698332	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0329795	-0.0059649999999999	3.558122499999998e-05	0.00108764742025	-0.115306	-0.1493433	0.013295473636	0.02230342125489	0.267539	0.074725	0.005583825625	0.071577116521	-0.00296847	0.00026279	8.8118141409e-06	6.905858410000008e-08	-0.00106412	0.0001164	1.1323513744e-06	1.3548960000000005e-08	-0.000585657	0.000311558	3.429941216489999e-07	9.706838736400005e-08	-0.5792486314	1.451178719	-2.491954922	-2.300760279	-3.04309269	-2.990422429	-1.283853137	2.357038792	-0.1253031989	-0.6461071566	0.6829856475	-0.0540755196	-0.8223968223
6462.3426282821565	14.216589134655806	41761872.24531273	202.1114066236135	10827.376443122728	-46.12900283537783	117232080.64108898	2127.884902586296	4946.32142737728	-6.505137068978911	42.31680828620354	24466095.662931614	5950.1750317760725	6184.670275124865	1.170699	34.974281	0.2040374	0.130508	-0.108548467	0.0033695814	-0.1061614476	-0.1149174874	0.1132620189	-0.1230918281	0.0594274796	-0.0075014197	0.1349907812	0.0084867054	0.0487560057	-0.0693908739	-0.0601878979	0.0535726687	-0.0946303343	-0.0227829692	0.0947820454	0.0459574374	0.007908691	-0.0214531982	0.0130366859	-0.0861711377	0.1609826419	-0.0379856486	-0.0876525643	-0.0687553691	0.0430504628	-0.0108242867	0.1109535614	0.0710108849	0.1782592815	0.0163232441	-0.1340971766	0.0907825922	0.3520143061	-0.0537408159	-0.0596294214	-0.1100874717	0.0106988828	-0.0814155785	-0.0244174814	-0.1640322127	-0.1331933675	0.0235819915	0.0107983083	0.1132348419	-0.0234920315	0.0984348057	0.1144341492	-0.0191201771	0.0780729705	-0.0039032982	0.1200643385	0.142522312	0.0884465054	-0.0709453199	-0.1063349772	-0.1829561734	-0.0374215469	0.1599725173	0.0109486665	-0.0451509559	-0.0818273455	0.1746093991	-0.0453546443	-0.091314684	-0.1023351366	-0.1048290945	0.042490005	0.063899512	-0.0554953914	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0456456	0.0126661	0.00016043008921	0.00208352079936	-0.0833500999999999	0.0319559000000001	0.0069472391700099	0.00102117954481	0.143335	-0.124204	0.015426633616	0.0205449222249999	-0.00241978	0.00054869	5.855335248399999e-06	3.010607161000001e-07	-0.00106412	0.0	1.1323513744e-06	0.0	-0.000741195	-0.000155538	5.493700280250001e-07	2.419206944400003e-08	-0.9759192383	1.331022413	-1.626068825	-2.131879189	-1.610712466	-1.487143907	-1.661921891	0.3865810571	-1.679547029	0.8908205571	-0.7436907345	-0.2094441174	-0.8846556317
6475.449352768893	13.106724486736312	41931444.32027508	171.78622677121322	10868.988418408717	41.61197528598859	118134909.23950282	1731.5564872017253	4952.298459289324	5.977031912043458	35.72491047758587	24525260.02987941	5960.973044684775	6172.94850720588	0.939125	28.05607	0.13609455	0.0612598	-0.1046486886	-0.1608341237	-0.0287965895	-0.1577940389	-0.0603060072	-0.0667092471	-0.0614904661	-0.0713291074	0.1078764931	0.0871846102	0.0972829254	-0.0474876862	0.1052407911	0.2020290723	-0.0546335105	0.0606795482	0.0065062459	0.0154882015	-0.0275399788	-0.0890524864	0.0548598667	0.0502383607	0.176861489	-0.2223407794	-0.0546458498	-0.1466189461	0.1293755516	0.1425201187	0.0118047312	0.0772813195	-0.1014623803	-0.0873643216	-0.2038675859	0.0758521832	-0.0125782325	0.073399053	0.1147950288	0.0999828548	0.0449610882	-0.0544132806	0.0093343518	0.0747236675	-0.12243536	-0.0325757175	0.0424577774	0.0905074807	-0.1656033561	0.1242688588	-0.1433288806	-0.0949630069	0.1625031423	-0.1028592585	0.1558786146	-0.0101141832	-0.0199909287	0.0247566291	-0.1482349825	-0.2097974802	-0.0113612043	0.0511267997	0.0293838031	-0.1830894683	0.182698041	0.0162452484	0.0204408556	-0.1386532038	-0.0166188714	-0.1886070729	-0.1671198568	-0.0841749694	-0.0399193193	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0100648	-0.0355808	0.00126599332864	0.00010130019904	-0.0661158	0.0172342999999998	0.00437129900964	0.0002970210964899	0.146397	0.003062	9.375844000000056e-06	0.021432081609	-0.00194706	0.0004727199999999	3.7910426436e-06	2.2346419839999985e-07	-0.000688906	0.000375214	4.74591476836e-07	1.4078554579600002e-07	-0.00149761	-0.0007564149999999	2.2428357121e-06	5.721636522249998e-07	-0.7013032621	1.485619	-1.566380263	-2.221792408	-1.907454195	-1.985475153	-2.767128806	1.740168142	-0.1128986014	-0.3625710885	-0.6542264578	0.3013464559	-1.467479143
6469.809194391657	-5.640158377235821	41858431.01183482	31.811386520303408	10834.761907640104	-34.22651076861257	117392065.59524904	1171.454039393952	4961.214625895961	8.91616660663749	79.49802695731748	24613650.564204	5958.98033275823	6228.448126263972	0.983918	29.394228	0.15883555	0.0681367	-0.105446546	-0.0908007782	0.1442765804	0.0058690271	0.0825939949	-0.0281765292	0.0139302591	-0.0014625496	0.0717367427	-0.0978571074	-0.0498663956	-0.0182418619	0.0290913734	0.0420633154	-0.0741385801	0.0359414058	0.2232291696	0.0246868511	-0.0028014691	0.1241198172	0.0427260745	0.0039767469	-0.0670902552	0.0657003903	-0.0016854353	0.2372150895	0.0319901948	0.1366894725	-0.2259514865	-0.1752371891	-0.0920048332	0.11047895	-0.1632170262	-0.0075870123	0.0396175047	0.0183663359	0.1027077951	-0.0663889943	-0.1533954907	0.0029460171	0.0149245747	0.0914992803	-0.0679091441	-0.0177983341	-0.1178537522	-0.052539309	-0.0231384176	0.0858556148	-0.0504168708	0.0072647805	0.1040626933	0.0610822759	0.0119151247	0.0659436809	0.0664870782	0.1204439629	0.025570153	0.2279108061	-0.022116216	0.0613127909	0.0372645624	0.2268500368	0.1460782534	-0.0083645589	-0.0308994925	-0.1062469023	-0.173778898	-0.0400394963	-0.2330752453	0.1670641818	0.0538005099	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0256807	0.0156159	0.00024385633281	0.00065949835249	-0.0971595	-0.0310436999999999	0.00943996844025	0.0009637113096899	0.178483	0.032086	0.001029511396	0.031856181289	-0.00147689	0.00047017	2.1812040721e-06	2.2105982890000002e-07	-0.00106412	-0.000375214	1.1323513744e-06	1.4078554579600002e-07	-0.000741195	0.0007564149999999	5.493700280250001e-07	5.721636522249998e-07	-1.02770777	1.174001329	-1.847604522	-1.818600517	-1.73532057	-1.69982371	-0.3781889007	0.3144778747	-0.8537777842	-0.409189669	-0.3596028632	-0.5234837484	-0.1564502874
6499.077999637238	29.268805245580552	42238014.84536876	856.6629605037236	10827.725523880066	-7.036383760038007	117239640.02048384	49.51069641852659	4955.948240983311	-5.26638491265021	27.73481004818976	24561422.96730557	5958.324771263217	6341.327705607257	0.967188	28.894424	0.18979085	0.0961132	-0.0714934965	-0.0102021032	0.1294832223	0.0478979504	-0.063351508	-0.0164090456	-0.0201028902	0.1700575277	0.1223057556	0.0710677003	0.0721510113	0.023965218	-0.1585647694	0.0587740893	-0.0472949267	-0.101920575	-0.0372396106	-0.0974660123	-0.155586566	-0.0286556505	0.1354352811	0.0131798791	0.06203197	-0.0208661175	0.0791391943	-0.0022779413	-0.0766139967	0.0990161792	-0.0934102419	-0.0702143754	0.0013492596	-0.1759496229	0.0448550239	-0.041955205	-0.0771683884	0.0373308358	0.0463628013	-0.2140302536	-0.0476104983	0.1311976844	-0.0896183276	-0.0535163809	-0.1288350162	0.0038398771	0.0619493349	0.0420174044	-0.0434111534	-0.1319098333	0.0640093621	0.0532783056	0.0969397689	0.1412710887	-0.0105056349	-0.1842249085	-0.0209827421	-0.0272110419	-0.0107685356	-0.139664935	0.0863602795	-0.0723103876	0.0079561052	0.0384722002	0.1014452226	-0.1217214609	-0.0322672257	-0.1104585725	0.0259069697	0.0922059804	0.0051989439	0.1907670806	0.1601087799	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0334067	0.0077259999999999	5.969107599999995e-05	0.0011160076048899	-0.0369719	0.0601875999999999	0.00136692138961	0.0036225471937599	0.11727	-0.061213	0.003747031369	0.0137522529	-0.00215845	-0.00068156	4.658906402500001e-06	4.6452403360000013e-07	-0.00126288	-0.00019876	1.5948658944000002e-06	3.9505537600000034e-08	-0.00107416	-0.0003329649999999	1.1538197056e-06	1.1086569122499997e-07	-0.5339267198	1.69546743	-1.326037413	-2.04506033	-1.568125307	-1.739220204	-1.434515598	1.709433971	-1.740773452	1.823373156	1.046776485	-0.4006947393	-1.561657747
6496.057517995495	-3.0204816417426628	42198763.277105786	9.123309348104453	10868.244892992134	40.51936911206758	118118747.0540496	1641.8192732399762	4974.885321647757	18.937080664446512	358.613024091754	24749483.96354631	5975.162950770364	6400.843049372342	0.967472	28.902939	0.23311455	0.1101	-0.0748819075	0.0398217544	0.0631185491	-0.0251690982	-0.0025242437	-0.1119547635	0.0341056649	-0.0463338789	0.0198747716	-0.1170359874	0.014951563	0.0581901686	0.1213521484	-0.1902806745	0.0596141425	-0.0251901396	0.0388512233	0.129955107	-0.0448472168	0.0132071721	-0.1149523086	-0.0857507904	-0.0382835233	0.0072446444	0.0240471165	0.0620202833	-0.0654440877	0.072618248	-0.0153139207	0.0369685016	-0.1098248946	0.1099464276	0.1805609126	-0.2024563672	0.2130716358	0.0007499248	-0.082229302	0.0681190444	-0.0340988755	-0.032894131	0.1544220539	-0.0259004282	-0.0268641022	0.0372001894	-0.0982366935	-0.0311335653	0.0364503057	0.090333471	-0.0879793034	0.0225856393	-0.1604810965	0.0802987008	-0.1424633159	0.0559105665	0.0388294536	-0.0935967304	-0.0716126563	0.0709141279	-0.0194393195	0.0774714691	0.0216790196	0.0336349154	-0.011057474	-0.0620503535	0.0119815182	0.1465487564	0.0207620948	-0.0255666584	0.0323443182	0.168698915	0.1421683086	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0237564	-0.0096502999999999	9.312829008999996e-05	0.00056436654096	-0.113779	-0.0768071	0.012945660841	0.00589933061041	0.142585	0.0253149999999999	0.0006408492249999	0.0203304822249999	-0.00106967	0.00108878	1.1441939089e-06	1.1854418884000003e-06	-0.000647738	0.000615142	4.195645166440001e-07	3.783996801640001e-07	-0.000351239	0.000722921	1.23368835121e-07	5.226147722410001e-07	-0.9564539388	1.255841651	-1.305858001	-1.659519531	-1.447869955	-1.924479094	-0.3967381207	-0.00808612112	-0.2288130234	-0.9075160791	0.7243591961	-1.053381214	-0.2063445692
6539.798887745063	43.74136974956855	42768969.492151566	1913.3074275684703	10811.977058081107	-56.26783491102651	116898847.9044722	3166.069245574534	4971.73262354904	-3.1526980987173374	9.939505301655917	24718125.28006182	5966.726009342213	6628.625225724541	1.061945	31.725267	0.3589686699999999	0.198195	-0.0190781609	0.0301250572	-0.0585223636	-0.0378569013	0.0860924522	0.0213440392	-0.0586235442	0.0538521611	0.0404588401	0.0600866056	-0.0227630849	0.0003105991	-0.1760976185	-0.0750787606	-0.0160044013	-0.1073606965	-0.0852840937	-0.096932576	0.0463586201	0.1957686598	-0.0250897222	-0.0447811892	-0.0703610014	-0.0516369018	0.0509411818	0.0051031088	-0.0267641035	0.0284558326	0.0486265179	0.0222789133	0.0603351203	-0.145284223	-0.0449451582	-0.0544233539	0.0249527285	-0.0787368835	-0.0457039929	-0.0112816135	0.0758964922	-0.0355766548	-0.1094774141	0.0108919736	-0.0586783191	-0.0226061663	0.0575209658	0.0115289807	-0.0083121748	-0.0900634267	0.2026808663	0.0708995027	-0.0444585662	0.0160806518	0.0488858874	0.0355528298	0.033326301	-0.2588771334	0.1417436825	-0.1282724289	0.0094388663	0.0268567244	0.0064758523	-0.0049175773	-0.0280288333	-0.0594019152	0.1263615006	0.0077360045	0.0350342832	-0.0855104274	-0.007654942	-0.027210075	0.0049713865	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0437843	0.0200278999999999	0.0004011167784099	0.0019170649264899	-0.00655263	0.10722637	4.2936959916900006e-05	0.0114974944233769	-0.0108416	-0.1534266	0.02353972158756	0.00011754029056	-0.00206484	-0.00099517	4.2635642256e-06	9.903633289e-07	-0.00105478	-0.0004070419999999	1.1125608484e-06	1.6568318976399993e-07	-0.000514783	-0.000163544	2.65001537089e-07	2.6746639936000006e-08	-0.6114060077	1.630730366	-0.8355883249	-2.192455098	-0.1738922701	-0.8992294067	-1.448597165	0.9178457649	-1.597463585	1.653768164	-0.1288782477	-2.169266401	0.06041596591
6546.44343807404	6.644550328976948	42855921.68790266	44.15004907430766	10874.34191205176	62.36485397065189	118251312.02020551	3889.375010780735	4986.074397981778	14.34177443273802	205.686493879538	24860937.90220935	5982.31757191033	6712.298570042557	0.960935	28.707632	0.25110212	0.129152	-0.0118606307	0.0645895933	-0.0750591513	-0.0406577291	0.0103830827	-0.0001388286	-0.1067617371	-0.0549590236	-0.0290370655	-0.0621441619	-0.0015675391	0.0208508604	0.0573670961	-0.1455133255	0.1199857582	0.0029872842	0.0613214385	0.2240057066	-0.1182864592	0.0073636736	-0.019364523	-0.0763535372	0.1526127591	0.073889283	0.0754715355	0.0088537093	0.1505828569	0.0544967569	-0.1799226628	0.0893884904	0.0284439285	-0.1150588004	-0.0667525876	-0.2983652169	-0.1495328981	-0.086210304	0.0441362631	0.0273334127	-0.0536991493	-0.1097701313	-0.1725097309	0.0257976158	0.0291600709	0.0478419325	-0.0254873147	0.0014352088	0.0239869054	0.0632724041	-0.0455328022	-0.0135801564	-0.1229567967	-0.0744755879	-0.1983430081	0.0801968772	0.1266258335	-0.1233533731	-0.1339959601	0.0132904822	0.0232277308	0.007262557	0.1676566334	0.0270347779	0.0640418217	0.1287570588	0.0317670435	-0.0724738753	-0.0502040081	0.1605506055	0.1593093068	0.1470480494	-0.0091785728	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0378754	-0.0059089	3.491509921000002e-05	0.0014345459251599	-0.0907952	-0.08424257	0.00824376834304	0.0070968106002049	0.0682779	0.0791195	0.00625989528025	0.00466187162841	-0.00112354	0.0009413	1.2623421315999998e-06	8.860456900000003e-07	-0.000700706	0.0003540739999999	4.90988898436e-07	1.2536839747599993e-07	-0.000173534	0.0003412489999999	3.0114049156000003e-08	1.1645088000099997e-07	-0.8656598145	1.294882267	-1.082907262	-1.782286524	-1.182544233	-1.240790156	-0.3582491074	0.8411648996	0.3950423044	-0.685908854	0.7125089587	-1.310327523	0.2804198139
